col1,cluster,ra_1,dec_1,RA_2,DEC_2,SIDEPROB,FPEAK,FINT,RMS,MAJOR,MINOR,POSANG,FITTED_MAJOR,FITTED_MINOR,FITTED_POSANG,FLDNAME,NSDSS,SDSS_SEP,SDSS_MAG,SDSS_CLASS,NTMASS,TMASS_SEP,TMASS_MAG,YEAR,MJD,MJDRMS,MJDSTART,MJDSTOP,GroupID,GroupSize,Separation
0,ACT-CLJ0200.3+0019,30.0904273987,0.323705941439,30.098679992859815,0.4149916751602495,0.041134726,1.01,1.8605262,0.098628804,8.02,2.61,38.0,10.07,6.32,32.7,02015+00130Z,0,99.0,99.0,-,0,99.0,99.0,1999.2002,2451252.5711054327,1236.562321178367,2450013.8181134267,2452491.9988310193,1,5,329.96877413404826
0,ACT-CLJ0200.3+0019,30.0904273987,0.323705941439,30.107921238806842,0.3791138920693626,0.086384915,0.87,0.44903225,0.10117202,0.0,0.0,85.5,4.42,3.99,70.3,02015+00130Z,0,99.0,99.0,-,0,99.0,99.0,1999.1996,2451252.348764574,1236.1168181283529,2450013.8181134267,2452491.9988310193,1,5,209.17406180183917
0,ACT-CLJ0200.3+0019,30.0904273987,0.323705941439,30.067937311405586,0.339855565545716,0.014053002,0.91,0.71696967,0.09995307,1.0,0.0,118.7,5.91,4.59,141.6,02015+00130Z,2,6.2960935,19.813612,g,0,99.0,99.0,1999.1991,2451252.1624013186,1235.6595339360788,2450015.810115741,2452490.002430556,1,5,99.67498474575325
0,ACT-CLJ0200.3+0019,30.0904273987,0.323705941439,30.037320988451004,0.32703055135769477,0.014053002,3.83,3.3806705,0.099766344,0.0,0.0,57.9,6.03,5.06,9.4,02015+00130Z,2,0.12639834,20.083445,s,0,99.0,99.0,1999.1991,2451252.1877173153,1235.6940767414335,2450015.810115741,2452490.002430556,1,5,191.5542677030882
0,ACT-CLJ0200.3+0019,30.0904273987,0.323705941439,30.051800989491433,0.2537861106585639,0.014053002,1.12,0.9655173,0.107076116,3.1,0.0,76.2,6.32,4.71,67.1,02015+00130Z,2,1.1370403,17.643099,g,1,1.1193625,15.274,1999.1958,2451250.963107047,1233.2783362566881,2450015.810115741,2452490.002430556,1,5,287.5664169324693
1,ACT-CLJ0201.6-0211,30.4255599976,-2.20262122154,30.384069202045044,-2.1731000299638383,0.014053002,3.14,5.019654,0.14964476,5.95,2.61,104.9,8.11,6.82,113.7,02015-02230T,1,0.9139154,17.146437,g,1,0.8569704,15.142,1995.9663,2450071.21503445,7.5957634285494695,2450062.6842013896,2450078.6424652785,2,11,183.228255827532
1,ACT-CLJ0201.6-0211,30.4255599976,-2.20262122154,30.388778617477765,-2.178855531556632,0.014053002,1.68,7.3896503,0.14953034,11.2,10.45,122.3,12.65,12.03,144.4,02015-02230T,0,99.0,99.0,-,0,99.0,99.0,1995.9675,2450071.6259785555,7.549328358770539,2450062.6842013896,2450078.6424652785,2,11,157.56740001126153
1,ACT-CLJ0201.6-0211,30.4255599976,-2.20262122154,30.357605634105827,-2.1865499531000627,0.014053002,1.94,1.7333727,0.15146598,1.0,0.0,57.7,6.09,5.06,23.8,02015-02230T,1,5.5702667,19.441046,g,0,99.0,99.0,1995.969,2450072.1800345797,7.569574717703819,2450062.6842013896,2450078.6424652785,2,11,251.2095812414815
1,ACT-CLJ0201.6-0211,30.4255599976,-2.20262122154,30.476638755866226,-2.1918777140960843,0.87657654,1.02,3.6561038,0.15194286,14.95,4.49,95.6,15.9,7.81,95.9,02015-01570E,1,4.3413305,21.027866,g,0,99.0,99.0,1995.9695,2450072.377001905,6.731060009476699,2450062.6842013896,2450078.6424652785,2,11,187.77468002864285
1,ACT-CLJ0201.6-0211,30.4255599976,-2.20262122154,30.429674375133217,-2.1966695186856713,0.014053002,12.17,12.782585,0.15029715,1.84,0.54,35.7,6.59,5.51,6.5,02015-02230T,3,0.31494173,16.20037,g,2,0.18760903,14.977,1995.9707,2450072.8067271556,7.16795122643869,2450062.6842013896,2450078.6424652785,2,11,26.0411995704606
