,cluster,ra,dec
0,ACT-CLJ0201.6-0211,30.4255599976,-2.20262122154
1,ACT-CLJ0201.6-0503,30.4129714966,-5.05930614471
2,ACT-CLJ0203.0-0042,30.752166748,-0.710814654827
3,ACT-CLJ0203.2-0123,30.8167266846,-1.40019643307
4,ACT-CLJ0203.7+0216,30.9333553314,2.26411700249
5,ACT-CLJ0203.9-0205,30.9957504272,-2.09569787979
6,ACT-CLJ0204.5+0321,31.1414222717,3.36070036888
7,ACT-CLJ0204.7-0116,31.1982269287,-1.28650856018
8,ACT-CLJ0204.8-0303,31.2166233063,-3.06597495079
9,ACT-CLJ0205.2-0439,31.3241252899,-4.65759468079
10,ACT-CLJ0205.9-0307,31.5039234161,-3.12641406059
11,ACT-CLJ0206.2-0114,31.5631523132,-1.24703037739
12,ACT-CLJ0206.4-0118,31.6147842407,-1.31262862682
13,ACT-CLJ0206.9-0119,31.7441253662,-1.337459445
14,ACT-CLJ0207.2+0536,31.8071212769,5.60670471191
15,ACT-CLJ0207.7+0020,31.9467277527,0.345353573561
16,ACT-CLJ0208.2-0237,32.070476532,-2.62555980682
17,ACT-CLJ0208.3-0255,32.0911560059,-2.93716621399
18,ACT-CLJ0209.6+0222,32.4106788635,2.37419772148
19,ACT-CLJ0209.9+0038,32.5047454834,0.633736848831
20,ACT-CLJ0210.0-0243,32.5086364746,-2.72465324402
21,ACT-CLJ0210.1+0254,32.5530548096,2.90358567238
22,ACT-CLJ0211.1-0453,32.8039550781,-4.89937973022
23,ACT-CLJ0211.2-0343,32.815120697,-3.72696685791
24,ACT-CLJ0211.9-0146,32.9905395508,-1.77306807041
25,ACT-CLJ0212.5-0037,33.1475448608,-0.629669368267
26,ACT-CLJ0212.5+0152,33.130859375,1.87339437008
27,ACT-CLJ0214.7-0432,33.6817741394,-4.55226993561
28,ACT-CLJ0215.4+0030,33.8704605103,0.507695496082
29,ACT-CLJ0215.4-0440,33.8697967529,-4.67457008362
30,ACT-CLJ0215.6-0113,33.9053916931,-1.22906494141
31,ACT-CLJ0215.8-0041,33.9612464905,-0.704027175903
32,ACT-CLJ0217.7-0345,34.4353179932,-3.76335883141
33,ACT-CLJ0217.8-0048,34.4544830322,-0.804911911488
34,ACT-CLJ0218.1-0214,34.5266151428,-2.24110031128
35,ACT-CLJ0218.2-0041,34.5690917969,-0.695460259914
36,ACT-CLJ0218.5-0114,34.6441078186,-1.2447719574
37,ACT-CLJ0218.7-0014,34.6775436401,-0.24587790668
38,ACT-CLJ0219.0+0303,34.7624359131,3.05934596062
39,ACT-CLJ0219.8+0022,34.9600791931,0.372532397509
40,ACT-CLJ0219.9+0130,34.9789123535,1.50167262554
41,ACT-CLJ0219.9+0246,34.979927063,2.78214025497
42,ACT-CLJ0220.9-0332,35.2380638123,-3.54895138741
43,ACT-CLJ0221.6-0012,35.403175354,-0.210878923535
44,ACT-CLJ0221.7-0346,35.4402923584,-3.77339053154
45,ACT-CLJ0221.9-0340,35.4820671082,-3.67038989067
46,ACT-CLJ0222.2+0520,35.5708351135,5.3371720314
47,ACT-CLJ0223.1-0057,35.7894477844,-0.952337443829
48,ACT-CLJ0223.6+0020,35.9070549011,0.349026501179
49,ACT-CLJ0224.5-0002,36.1451034546,-0.037170086056
50,ACT-CLJ0224.5+0102,36.1248283386,1.04854035378
51,ACT-CLJ0225.4-0355,36.3663635254,-3.93285059929
52,ACT-CLJ0226.4+0426,36.6213569641,4.44238519669
53,ACT-CLJ0227.6-0318,36.9122123718,-3.30420899391
54,ACT-CLJ0228.4+0030,37.1207847595,0.506659805775
55,ACT-CLJ0229.6-0336,37.4098396301,-3.60993504524
56,ACT-CLJ0230.9+0248,37.731464386,2.80519247055
57,ACT-CLJ0231.7-0453,37.9353675842,-4.88439035416
58,ACT-CLJ0232.1+0230,38.0313873291,2.51517510414
59,ACT-CLJ0232.7+0214,38.1954116821,2.25179743767
60,ACT-CLJ0232.7+0350,38.1920928955,3.84190821648
61,ACT-CLJ0233.2+0211,38.3022918701,2.19890499115
62,ACT-CLJ0233.2+0248,38.3050117493,2.81549024582
63,ACT-CLJ0233.2+0448,38.3119010925,4.80992937088
64,ACT-CLJ0233.6-0530,38.4045753479,-5.50633573532
65,ACT-CLJ0233.7+0127,38.4302368164,1.46335291862
66,ACT-CLJ0234.5-0107,38.6488113403,-1.12861204147
67,ACT-CLJ0234.6-0259,38.6592330933,-2.99485063553
68,ACT-CLJ0235.2-0323,38.8133773804,-3.38715291023
69,ACT-CLJ0235.5-0005,38.8779830933,-0.100324489176
70,ACT-CLJ0236.5+0106,39.1363258362,1.11104953289
71,ACT-CLJ0236.7-0228,39.1776695251,-2.47157669067
72,ACT-CLJ0237.6-0423,39.4049949646,-4.3926653862
73,ACT-CLJ0238.1+0306,39.5322380066,3.10253667831
74,ACT-CLJ0239.3-0332,39.8392753601,-3.53719639778
75,ACT-CLJ0239.8-0134,39.9697113037,-1.58005678654
76,ACT-CLJ0240.0+0116,40.0123748779,1.26606237888
77,ACT-CLJ0240.0+0303,40.0107383728,3.05319023132
78,ACT-CLJ0241.2-0018,40.3159446716,-0.314161926508
79,ACT-CLJ0241.4-0433,40.3711051941,-4.55407381058
80,ACT-CLJ0242.2-0345,40.5662994385,-3.75887298584
81,ACT-CLJ0242.7-0226,40.6831054688,-2.44036722183
82,ACT-CLJ0242.7-0450,40.6769294739,-4.84581518173
83,ACT-CLJ0242.9-0250,40.734703064,-2.84404587746
84,ACT-CLJ0243.2+0256,40.8148803711,2.9427959919
85,ACT-CLJ0245.2+0032,41.3072662354,0.54666531086
86,ACT-CLJ0245.2-0240,41.3034858704,-2.6798722744
87,ACT-CLJ0245.2+0407,41.309879303,4.12060451508
88,ACT-CLJ0245.7-0028,41.4322128296,-0.477719008923
89,ACT-CLJ0245.8-0042,41.4650611877,-0.71034681797
90,ACT-CLJ0246.4+0429,41.6248207092,4.4920797348
91,ACT-CLJ0247.3-0156,41.8506584167,-1.93995726109
92,ACT-CLJ0248.0-0331,42.0191345215,-3.53436613083
93,ACT-CLJ0248.2-0216,42.0594558716,-2.27039361
94,ACT-CLJ0248.2+0238,42.0587043762,2.63399219513
95,ACT-CLJ0248.3+0122,42.100982666,1.37061786652
96,ACT-CLJ0248.3-0337,42.0922546387,-3.62425470352
97,ACT-CLJ0248.7-0019,42.2009544373,-0.3279748559
98,ACT-CLJ0248.9-0328,42.2438049316,-3.48135900497
