reduction,code
_2asp_pca3_qm2_fitel_0f11-to-25f5Hz_qc_1p2rr_M_PdoCals_dt20_snr_iter1_files.txt,0
_2asp_pca3_qm2_fitel_0f12-to-25f5Hz_qc_1p2rr_M_PdoCals_dt20_snr_iter1_files.txt,1
_2asp_pca6_qm2_fitel_0f07-to-41f1Hz_qc_1p2rr_M_PdoCals_dt20_snr_iter1_files.txt,2
_2asp_pca6_qm2_fitel_0f09-to-41f1Hz_qc_0p6rr_M_PdoCals_dt20_snr_iter1_files.txt,3
_2asp_pca6_qm2_fitel_0f10-to-41f1Hz_qc_1p2rr_M_PdoCals_dt20_snr_iter1_files.txt,4
_2asp_pca6_qm2_fitel_0f90-to-50f0Hz_qc_1p2rr_M_PdoCals_dt20_snr_iter1_files.txt,5
_2asp_pca6_qm2_fitel_1f00-to-21f1Hz_qc_1p2rr_M_PdoCals_dt20_snr_iter1_files.txt,6
_2aspcmsubqm2_fitel_0f08-to-41f1Hz_qc_0p6rr_M_PdoCals_dt20_snr_iter1_files.txt,7
_2aspcmsubqm2_fitel_0f09-to-35f5Hz_qc_1p2rr_M_PdoCals_dt20_snr_iter1_files.txt,8
_2aspcmsubqm2_fitel_0f09-to-41f1Hz_qc_0p6rr_M_PdoCals_dt20_snr_iter1_files.txt,9
_2aspcmsubqm2_fitel_0f11-to-25f1Hz_qc_1p2rr_M_PdoCals_dt20_snr_iter1_files.txt,10
_2aspcmsubqm2_fitel_0f90-to-50f1Hz_qc_0p5rr_M_PdoCals_dt20_snr_iter1_files.txt,11
_2aspcmsubqm2_fitel_0f90-to-50f1Hz_qc_1p2rr_M_PdoCals_dt20_snr_iter1_files.txt,12
_2aspcmsubcr_qm2_noMode0cut_fitel_0f20-to-21f5Hz_qc_0p5rr_M_PdoCals_dt20_snr_iter1_files.txt,13
_2aspcmsubcr_qm2_noMode0cut_fitel_0f90-to-20f5Hz_qc_0p5rr_M_PdoCals_dt20_snr_iter1_files.txt,14
_2aspcmsubcr_qm2_noMode0cut_fitel_0f90-to-21f5Hz_qc_0p5rr_M_PdoCals_dt20_snr_iter1_files.txt,15
_2aspcmsubcr_qm2_noMode0cut_fitel_0f90-to-30f5Hz_qc_0p5rr_M_PdoCals_dt20_snr_iter1_files.txt,16
_pca3_fitel_0f11-to-25f5Hz__all_snr_files.txt,17
_cmcmscale_fitel_0f11-to-25f1Hz__all_snr_files.txt,18
_2asp_pca3_qm2_fitel_0f11-to-25f5Hz_qc_0p6rr_M_PdoCals_dt20_snr_iter1_files.txt,19
_2aspcmsubqm2_fitel_0f09-to-35f5Hz_qc_0p6rr_M_PdoCals_dt20_snr_iter1_files.txt,20
_2aspcmsubqm2_fitel_0f05-to-49f5Hz_qc_0p6rr_M_PdoCals_dt10_snr_files.txt,21
