cluster,x,y,theta_1,theta_2,ra_deg,dec_deg,amp_fit,x_center_fit,y_center_fit,sigma_x_fit,sigma_y_fit,theta,offset,snr,masked,Unnamed: 0,Source,rms_map,rms_snr,avg_snr,ntail,red_type
ACT-CLJ0200.3+0019,200.0,181.0,5.0,7.0,30.074099537660476,0.34428321991824096,0.00127973768612999,198.3220206306044,180.37059522680363,2.995656740383766,3.4577020482591605,3920.576932882498,-1.6126137164925833e-06,4.261534214019775,0.0,,,,,,,
ACT-CLJ0200.3+0019,172.0,152.0,5.0,7.0,30.0896553823234,0.3281721303816153,0.0009997100949460014,172.21602973816852,151.42898542641328,3.5575718214187555,3.1475354552582786,-193750.8659157675,-1.4882577052330196e-06,3.992913246154785,0.0,,,,,,,
ACT-CLJ0200.3+0019,123.0,170.0,5.0,7.0,30.1168780725906,0.33817210796040875,0.0025384250183341723,122.81040681321889,169.36611062981638,1.9669301165156277,1.7227752387213568,2256.2637191041053,-1.33220393972094e-06,6.66577672958374,0.0,,,,,,,
ACT-CLJ0200.3+0019,200.0,181.0,5.0,10.0,30.074099537660476,0.34428321991824096,0.00127973768612999,198.3220206306044,180.37059522680363,2.995656740383766,3.4577020482591605,3920.576932882498,-1.6126137164925833e-06,4.261534214019775,0.0,,,,,,,
ACT-CLJ0200.3+0019,199.0,257.0,5.0,10.0,30.074655014943108,0.3865054268513129,0.001264971394031771,201.1646879081482,258.08919794966835,5.348201969298476,5.441887207163668,-48235.18738519609,-3.0229020543148865e-06,2.1815075874328613,0.0,,,,,,,
ACT-CLJ0200.3+0019,123.0,170.0,5.0,10.0,30.1168780725906,0.33817210796040875,0.0025384250183341723,122.81040681321889,169.36611062981638,1.9669301165156277,1.7227752387213568,2256.2637191041053,-1.33220393972094e-06,6.66577672958374,0.0,,,,,,,
ACT-CLJ0200.3+0019,182.0,152.0,5.0,10.0,30.08409973565128,0.3281721257534696,-0.001511137608810586,178.45200161140903,153.1533889733054,-0.8801204805786946,-1.0525558143031963,18027.880006445066,-7.362201966506892e-07,0.38873401284217834,0.0,,,,,,,
ACT-CLJ0200.3+0019,174.0,198.0,5.0,10.0,30.088544235657036,0.3537276848744715,0.0018461555413527247,174.07393088352563,201.4683790965542,4.659151659871074,0.6613370371309977,17943.746198561254,-1.1597475715455377e-06,2.61330509185791,0.0,,,,,,,
ACT-CLJ0200.3+0019,200.0,181.0,5.0,13.0,30.074099537660476,0.34428321991824096,0.00127973768612999,198.3220206306044,180.37059522680363,2.995656740383766,3.4577020482591605,3920.576932882498,-1.6126137164925833e-06,4.261534214019775,0.0,,,,,,,
ACT-CLJ0200.3+0019,199.0,257.0,5.0,13.0,30.074655014943108,0.3865054268513129,0.001264971394031771,201.1646879081482,258.08919794966835,5.348201969298476,5.441887207163668,-48235.18738519609,-3.0229020543148865e-06,2.1815075874328613,0.0,,,,,,,
ACT-CLJ0200.3+0019,123.0,170.0,5.0,13.0,30.1168780725906,0.33817210796040875,0.0025384250183341723,122.81040681321889,169.36611062981638,1.9669301165156277,1.7227752387213568,2256.2637191041053,-1.33220393972094e-06,6.66577672958374,0.0,,,,,,,
ACT-CLJ0200.3+0019,182.0,152.0,5.0,13.0,30.08409973565128,0.3281721257534696,-0.001511137608810586,178.45200161140903,153.1533889733054,-0.8801204805786946,-1.0525558143031963,18027.880006445066,-7.362201966506892e-07,0.38873401284217834,0.0,,,,,,,
ACT-CLJ0200.3+0019,174.0,198.0,5.0,13.0,30.088544235657036,0.3537276848744715,0.0018461555413527247,174.07393088352563,201.4683790965542,4.659151659871074,0.6613370371309977,17943.746198561254,-1.1597475715455377e-06,2.61330509185791,0.0,,,,,,,
ACT-CLJ0200.3+0019,201.0,181.0,7.0,10.0,30.073543972148563,0.3442832186720325,0.0012112574192877162,198.60390291992118,180.74659157886978,3.304916732311824,3.3188742585880884,31264.922377945473,-1.6146979449934724e-06,3.960838556289673,0.0,,,,,,,
ACT-CLJ0200.3+0019,198.0,256.0,7.0,10.0,30.075210583977125,0.38594987310897644,0.003074179524969841,202.32859208052025,259.898452604121,9.74171436661556,0.8366812388203599,-2746.345835249365,-2.3190839632858714e-06,2.3456406593322754,0.0,,,,,,,
ACT-CLJ0200.3+0019,175.0,198.0,7.0,10.0,30.087988669542444,0.3537276844587686,0.0005574805719635294,173.30589585794405,197.29716796322674,5.444617845380859,3.2588539983625457,7507.1590173018385,-1.4119530131063305e-06,2.4909472465515137,0.0,,,,,,,
ACT-CLJ0200.3+0019,175.0,152.0,7.0,10.0,30.087988688306044,0.32817212931714523,0.0009822144340576053,171.99454085157006,151.6579098276888,3.540358916712882,3.272560936879748,-4287.5735100400125,-1.499786539541321e-06,4.003066539764404,0.0,,,,,,,
ACT-CLJ0200.3+0019,184.0,152.0,7.0,10.0,30.08298860633858,0.3281721244575863,0.0007207554983790867,185.85450588274267,151.63124965601114,2.2070315016409876,7.012979853138816,48638.418315272225,-1.4872696821527421e-06,2.2032980918884277,0.0,,,,,,,
ACT-CLJ0200.3+0019,201.0,181.0,7.0,13.0,30.073543972148563,0.3442832186720325,0.0012112574192877162,198.60390291992118,180.74659157886978,3.304916732311824,3.3188742585880884,31264.922377945473,-1.6146979449934724e-06,3.960838556289673,0.0,,,,,,,
