,cluster,ra_deg,dec_deg,dist_center_radians,amp_fit,int_flux_Jy,int_flux_err_Jy,peak_snr,peak_flux_mJy_adj,dist_center_radians,Component_name_vlass,Component_id_vlass,RA_vlass,DEC_vlass,Total_flux_vlass,RA_first,DEC_first,FINT_first,Name_gleam,RAJ2000_gleam,DEJ2000_gleam,int_flux_wide_gleam,Source_name_tgss,RA_tgss,DEC_tgss,Total_flux_tgss,ra_wise,dec_wise,w1_flux_wise,w2_flux_wise,w3_flux_wise,w4_flux_wise,ra_2mass,dec_2mass,j_flux_2mass,h_flux_2mass,k_flux_2mass
20,ACT-CLJ0201.6-0211,30.44589435111796,-2.198815803776432,0.0003012093969103,0.0010373553671572,0.0060706268373528,1.1559848478071205e-05,9.286065101623535,0.7469419385914569,0.0003012093969103,VLASS1QLCIR J020146.62-021157.5,33.0,30.44425745782034,-2.19931913307035,41.80208298728,30.44395288559313,-2.199508316059458,58.386692,GLEAM J020145-021151,30.440584,-2.1975646,0.638072,TGSSADR J020147.4-021154,30.44785,-2.19855,479.7,30.445176,-2.1983201,0.900983376726338,0.6237208979479147,0.3403320991059965,2.0191198426599466,30.445184,-2.198324,0.7464438158183193,1.0661054702876038,1.1828395405698866
21,ACT-CLJ0201.6-0211,30.429771368113496,-2.19770479160654,1.9392547711478663e-05,0.0006604071668355,0.0028951583920564,1.1173704609472805e-05,9.286065101623535,0.415897613160759,1.9392547711478663e-05,VLASS1QLCIR J020143.11-021147.8,37.0,30.42965921202191,-2.19662406063209,9.647974896749998,30.429674375133217,-2.196669518685672,12.782585,GLEAM J020145-021151,30.440584,-2.1975646,0.638072,TGSSADR J020142.8-021153,30.42872,-2.1982,429.3,30.4306079,-2.1979195,0.3072676070788591,0.2289761745579086,0.398018182648977,2.331106400346768,30.429725,-2.196657,0.4331089160922177,0.5651974213511202,0.6812803045772293
50,ACT-CLJ0204.5+0321,31.123166734225585,3.3256814851091514,0.0007154902845048,0.0076448589322785,-0.004619241915036,3.883745225157252e-05,11.42290210723877,7.542314836874986,0.0007154902845048,VLASS1QLCIR J020429.16+031934.7,69.0,31.12150736491888,3.32630938555019,11.99734227313,31.121548632393413,3.3261416163507143,2.6367743,GLEAM J020429+031930,31.123627,3.3251166,0.2567568,,,,,31.121554,3.3262344,1.2334364496804,1.1071087812082032,1.1073959028781566,2.6397457344934105,31.121568,3.32625,0.8562431779760685,1.0360964168128388,1.2204664177750424
418,ACT-CLJ0220.9-0332,35.20608121298446,-3.5532176681909764,0.0005786977343756,0.0017842261302819,0.0036335452364611,2.0756913863263027e-05,7.823339462280273,1.4715411532328686,0.0005786977343756,VLASS1QLCIR J022049.68-033315.2,50.0,35.20700669028486,-3.55424694894183,22.92857497533,35.20618617116863,-3.5544611799259007,100.791306,GLEAM J022050-033318,35.209423,-3.5551949,0.3986765,TGSSADR J022049.4-033316,35.20604,-3.55462,337.6,35.2060211,-3.5543596,0.1372513984816156,0.0765227018214068,0.3518057329797413,2.1201280736854,,,,,
644,ACT-CLJ0229.6-0336,37.436522126695614,-3.6237666314580217,0.0005123450468544,0.0019573368232147,0.0061334571236452,2.216165041070934e-05,5.847259998321533,1.71801937875888,0.0005123450468544,VLASS1QLCIR J022944.88-033732.8,47.0,37.43700967719467,-3.62577809619637,2.2930722521500004,37.436884972959774,-3.625730361933576,1.7303226,,,,,,,,,37.4371623,-3.6257725,0.482521621133217,0.438318998836139,0.5689877447794964,3.022470681255085,37.43696,-3.62594,0.2856255964511583,0.266808813637349,0.5312828952157805
676,ACT-CLJ0231.7-0453,37.904932119604645,-4.883818872632823,0.0005527726020365,0.0022589926398514,0.0216226925165493,2.3414419868940403e-05,6.033036231994629,2.016838296418901,0.0005527726020365,,,,,,,,,GLEAM J023139-045258,37.913734,-4.8829894,1.2875556,,,,,37.9037201,-4.8853785,0.0676576296220553,0.0273017380505699,0.2676103539125271,2.106503071864047,,,,,
677,ACT-CLJ0231.7-0453,37.92221720259392,-4.878819464831949,0.0002637671597037,0.0017483104365351,0.0046955891033747,2.0125564480435208e-05,7.317177772521973,1.5370775914297032,0.0002637671597037,,,,,,,,,GLEAM J023139-045258,37.913734,-4.8829894,1.2875556,,,,,,,,,,,,,,,
906,ACT-CLJ0246.4+0429,41.63737698500714,4.510596787483323,0.0003976654368355,0.000594949175896,0.0005030595434914,1.1487272052804162e-05,6.067875385284424,0.3718667690734164,0.0003976654368355,,,,,,,,,,,,,,,,,,,,,,,,,,,
921,ACT-CLJ0248.0-0331,42.014713955322605,-3.530348854410408,4.336305491816402e-05,0.0007979692309625,-0.0025378487428692,1.110865099368528e-05,6.686501502990723,0.5264565068319321,4.336305491816402e-05,VLASS1QLCIR J024803.40-033144.5,78.0,42.01420093974496,-3.52904437902552,22.055917574060008,42.01411916977089,-3.5290639752708546,41.36744,GLEAM J024803-033151,42.01434,-3.5309215,0.20236753,TGSSADR J024803.4-033143,42.01431,-3.52889,224.8,42.0141165,-3.5291507,1.6979182574536016,1.213920639353451,0.5985534141806902,2.7769118692745525,42.014128,-3.529187,1.1339584048207847,1.141300931594348,1.5056562592513054
1015,ACT-CLJ0839.5-0150,129.91804050586506,-1.8756553229981268,0.000859255983068,0.0027978227297677,0.0071304925126898,2.5238196069883468e-05,14.298643112182615,2.3408470587302417,0.000859255983068,VLASS1QLCIR J083939.86-015229.5,6.0,129.91611716137444,-1.8748745844529289,3.0879090819700004,129.91623590086883,-1.874797280935644,2.2701266,,,,,,,,,129.9162174,-1.8748378,0.2275709268238329,0.220490709758467,0.3755803932944661,1.9460863065307192,,,,,
