Amplitudes of fake point source in maps
Cluster   amp(jy)    X_loc(pixels)    y_loc(pixels)
ACT-CLJ0200.3+0019    0.0300000      161.000      153.000
ACT-CLJ0200.3+0019   0.00700000      169.607      164.607
ACT-CLJ0201.6-0211   0.00300000      140.000      185.000
ACT-CLJ0201.6-0211   0.00100000      236.000      155.000
ACT-CLJ0201.6-0503    0.0300000      234.246      229.246
ACT-CLJ0203.0-0042   0.00700000      160.000      156.000
ACT-CLJ0203.2-0123   0.00300000      175.000      157.000
ACT-CLJ0203.7+0216   0.00100000      193.820      188.820
ACT-CLJ0248.0-0331    0.0300000      160.000      229.000
ACT-CLJ0248.2+0238   0.00700000      258.000      154.000
ACT-CLJ0248.2-0216   0.00300000      152.000      149.000
ACT-CLJ0248.3+0122   0.00100000      158.000      163.000
ACT-CLJ0248.3-0337    0.0300000      206.000      146.000
ACT-CLJ0248.7-0019   0.00700000      204.033      208.033
ACT-CLJ0248.9-0328   0.00300000      154.000      265.000
ACT-CLJ0249.6+0210   0.00100000      161.000      158.000
ACT-CLJ0250.1+0008    0.0300000      172.607      167.607
ACT-CLJ0253.5-0017   0.00700000      161.000      198.000
ACT-CLJ0254.4-0538   0.00300000      234.000      157.000
ACT-CLJ0256.5+0006   0.00100000      233.246      230.246
ACT-CLJ0257.0-0300    0.0300000      154.000      160.000
ACT-CLJ0258.4+0147   0.00700000      175.000      157.000
ACT-CLJ0259.4-0524   0.00300000      175.820      191.820
ACT-CLJ0259.8-0037   0.00100000      157.000      233.000
ACT-CLJ0300.2+0125    0.0300000      261.000      157.000
ACT-CLJ0301.5-0248   0.00700000      133.000      157.000
ACT-CLJ0839.5-0140   0.00300000      152.000      171.000
ACT-CLJ0839.5-0150   0.00100000      198.000      157.000
ACT-CLJ0842.3+0033    0.0300000      206.033      210.033
ACT-CLJ0842.9+0424   0.00700000      155.000      262.000
ACT-CLJ0844.6+0216   0.00300000      155.000      158.000
ACT-CLJ0845.0+0127   0.00100000      168.607      170.607
ACT-CLJ0845.4+0327    0.0300000      157.000      205.000
ACT-CLJ0848.4+0412   0.00700000      233.000      160.000
ACT-CLJ0848.5-0122   0.00300000      233.246      235.246
ACT-CLJ0849.6-0051   0.00100000      159.000      161.000
ACT-CLJ0849.8+0440    0.0300000      177.000      160.000
ACT-CLJ0852.2-0101   0.00700000      190.820      191.820
ACT-CLJ0853.4+0132   0.00300000      161.000      236.000
ACT-CLJ0854.7-0122   0.00100000      265.000      160.000
ACT-CLJ0855.4-0106    0.0300000      162.000      160.000
ACT-CLJ0856.3+0146   0.00700000      157.000      175.000
ACT-CLJ0856.4-0013   0.00300000      209.000      160.000
ACT-CLJ0856.5+0143   0.00100000      215.033      210.033
ACT-CLJ0857.8+0310    0.0300000      164.000      266.000
ACT-CLJ0859.0-0119   0.00700000      163.000      160.000
ACT-CLJ0859.4+0308   0.00300000      172.607      171.607
ACT-CLJ0901.5+0301   0.00100000      162.000      205.000
ACT-CLJ0901.7+0408    0.0300000      237.000      161.000
ACT-CLJ0903.4-0136   0.00700000      237.246      235.246
ACT-CLJ0904.3+0206   0.00300000      160.000      160.000
ACT-CLJ0904.5+0426   0.00100000      175.000      160.000
ACT-CLJ0905.6+0434    0.0300000      192.820      191.820
ACT-CLJ0907.8+0057   0.00700000      160.000      236.000
ACT-CLJ0907.9+0254   0.00300000      265.000      160.000
ACT-CLJ0909.5-0050   0.00100000      159.000      160.000
ACT-CLJ0913.2+0349    0.0300000      157.000      174.000
ACT-CLJ0914.7+0011   0.00700000      205.000      160.000
ACT-CLJ0915.9-0132   0.00300000      211.033      213.033
ACT-CLJ0916.1-0024   0.00100000      157.000      265.000
ACT-CLJ0916.7+0155    0.0300000      153.000      138.000
ACT-CLJ0916.8-0059   0.00700000      165.607      167.607
ACT-CLJ0918.7+0211   0.00300000      157.000      202.000
ACT-CLJ0920.4+0134   0.00100000      230.000      158.000
ACT-CLJ0921.0-0148    0.0300000      231.246      233.246
ACT-CLJ0921.3+0317   0.00700000      158.000      159.000
ACT-CLJ0922.1+0346   0.00300000      174.000      160.000
ACT-CLJ0922.1-0027   0.00100000      191.820      191.820
ACT-CLJ0930.4+0216    0.0300000      161.000      235.000
ACT-CLJ0935.0+0053   0.00700000      265.000      160.000
ACT-CLJ0935.2+0048   0.00300000      161.000      160.000
ACT-CLJ0935.3+0233   0.00100000      161.000      176.000
ACT-CLJ0940.9+0322    0.0300000      206.000      160.000
