,cluster,project,scanno,x,y,sigma_dog,theta_1,theta_2,ra_deg,dec_deg,dist_center_radians,amp_fit,x_center_fit,y_center_fit,sigma,offset,int_flux_Jy,int_flux_err_Jy,peak_snr,peak_flux_mJy_adj,snr,masked,noise_ps,hits_ps,Source,rms_map,rms_snr,avg_snr,ntail,amp_fit_snr,mean_fit_snr,std_fit_snr,offset_fit_snr,red_type
20,ACT-CLJ0201.6-0211,all,0,131.0,160.0,5.120000000000001,2.0,6.0,30.445894351117957,-2.198815803776432,0.0003012093969103,0.0010373553671572,130.0,159.0,2.9999976967457247,4.572263825224973e-05,0.0060706268373528,1.1559848478071205e-05,9.286065101623535,0.7469419385914569,8.567449569702148,0.0,9.43725899560377e-05,6105826.0,ACT-CLJ0201.6-0211,0.0001673095320848,1.5818999642196256,0.3254381232019716,0.0104811815150071,16536.449781069503,-0.0011598928179451,-0.0655565338241612,432.0940618839256,21.0
21,ACT-CLJ0201.6-0211,all,0,160.0,162.0,5.120000000000001,2.0,6.0,30.429771368113496,-2.1977047916065398,1.9392547711478663e-05,0.0006604071668355,159.0,161.0,3.000000959653069,1.9020621122368112e-05,0.0028951583920564,1.1173704609472805e-05,9.286065101623535,0.415897613160759,6.390590190887451,0.0,8.913020428735763e-05,6821979.0,ACT-CLJ0201.6-0211,0.0001673095320848,1.5818999642196256,0.3254381232019716,0.0104811815150071,16536.449781069503,-0.0011598928179451,-0.0655565338241612,432.0940618839256,21.0
50,ACT-CLJ0204.5+0321,all,0,195.0,96.0,3.2,2.0,6.0,31.123166734225585,3.3256814851091514,0.0007154902845048,0.0076448589322785,193.0,94.0,1.9598366924183923,-0.0001029043924031,-0.004619241915036,3.883745225157252e-05,11.42290210723877,7.644858932278569,11.42290210723877,0.0,0.0002958584227599,1077981.25,ACT-CLJ0204.5+0321,0.0001907661196948,0.8736488974504257,0.1317038949726527,0.0057170080990948,11087.463886064726,-0.0005644673852899,-0.0802003496999874,399.65285354788847,21.0
418,ACT-CLJ0220.9-0332,all,0,221.0,153.0,5.120000000000001,2.0,6.0,35.20608121298446,-3.5532176681909764,0.0005786977343756,0.0017842261302819,220.0,152.0,3.0000053217921474,7.811566140021335e-06,0.0036335452364611,2.0756913863263027e-05,7.823339462280273,1.784226130281915,7.480026721954346,0.0,0.0001990319869946,1716015.75,ACT-CLJ0220.9-0332,0.0002245679170055,1.3101589162697858,-0.3494651836986077,0.0152441929152613,11178.302285793612,5.134174718720712e-05,-0.0706636310630221,417.81912370776416,21.0
644,ACT-CLJ0229.6-0336,all,0,116.0,136.0,5.120000000000001,2.0,6.0,37.436522126695614,-3.6237666314580217,0.0005123450468544,0.0019573368232147,115.0,135.0,3.000014407684793,3.09111581653713e-05,0.0061334571236452,2.216165041070934e-05,5.847259998321533,1.957336823214758,5.29541540145874,0.0,0.0002477944944985,965761.8125,ACT-CLJ0229.6-0336,0.0002939716419207,1.162704366281378,-0.0289724835643333,0.0057155921353452,10332.224863007026,0.000647504126662,-0.0757795912124757,412.5921121872454,21.0
676,ACT-CLJ0231.7-0453,all,0,219.0,161.0,5.120000000000001,2.0,6.0,37.904932119604645,-4.883818872632823,0.0005527726020365,0.0022589926398514,218.0,160.0,3.0000037371402217,0.0001869949045458,0.0216226925165493,2.3414419868940403e-05,6.033036231994629,2.2589926398514306,6.033036231994629,0.0,0.0002605727349873,804835.5625,ACT-CLJ0231.7-0453,0.0003033934550972,1.2760357648356513,-0.1828578892986928,0.0,10426.127899309282,-0.0012144451770155,-0.0756059564545035,410.5505171344781,21.0
677,ACT-CLJ0231.7-0453,all,0,188.0,170.0,5.120000000000001,2.0,6.0,37.92221720259392,-4.878819464831949,0.0002637671597037,0.0017483104365351,187.0,169.0,3.000004387456235,1.9465129446391e-05,0.0046955891033747,2.0125564480435208e-05,7.317177772521973,1.5370775914297032,7.189110279083252,0.0,0.0001994034682866,1570988.0,ACT-CLJ0231.7-0453,0.0003033934550972,1.2760357648356513,-0.1828578892986928,0.0,10426.127899309282,-0.0012144451770155,-0.0756059564545035,410.5505171344781,21.0
901,ACT-CLJ0246.4+0429,all,0,133.0,191.0,5.120000000000001,2.0,6.0,41.63737698500714,4.510596787483323,0.0003976654368355,0.000594949175896,132.0,190.0,3.00000086756815,-4.767098565339672e-06,0.0005030595434914,1.1487272052804162e-05,6.067875385284424,0.5949491758960093,6.067875385284424,0.0,7.031312998151407e-05,12320064.0,ACT-CLJ0246.4+0429,0.0001079549717202,1.3651931225225375,-0.1644329127706497,0.0,16699.075756679107,0.000209281002381,-0.0651821762987802,433.36675423542056,21.0
916,ACT-CLJ0248.0-0331,all,0,164.0,166.0,5.120000000000001,2.0,6.0,42.014713955322605,-3.530348854410408,4.336305491816402e-05,0.0007979692309625,163.0,166.0,2.9999994202608717,-3.981830594135063e-05,-0.0025378487428692,1.110865099368528e-05,6.686501502990723,0.5264565068319321,6.280983924865723,0.0,8.101277489913628e-05,13492321.0,ACT-CLJ0248.0-0331,0.0001020602768655,1.0369510194716578,0.0155461656055491,0.0,16987.844346226113,-0.0007871651038738,-0.0690792657119502,413.5353644319706,21.0
1010,ACT-CLJ0839.5-0150,all,0,95.0,104.0,3.2,2.0,6.0,129.91804050586506,-1.8756553229981268,0.000859255983068,0.0027978227297677,94.0,103.0,3.0000142337871325,2.7155938326267533e-05,0.0071304925126898,2.5238196069883468e-05,14.298643112182615,2.7978227297677813,14.276200294494627,0.0,0.0002103317820001,1200797.0,ACT-CLJ0839.5-0150,0.0001623959144616,1.2976571592039603,0.1572786416350843,0.029542379019193,10527.302693766836,-0.0006443814691469,-0.071960068860507,426.0944365356769,21.0
1150,ACT-CLJ0901.5+0301,all,0,214.0,113.0,5.120000000000001,2.0,6.0,135.35901117036005,2.990658792102927,0.0006927917012189,0.0028629544653516,213.0,111.0,3.9324709639194055,0.0001408228832002,0.0214830819070609,1.7860383067057616e-05,13.151110649108888,2.8629544653516232,13.151110649108888,0.0,0.000204891373869,1539769.0,ACT-CLJ0901.5+0301,0.0001869475162735,1.1775416615921173,-0.2076877034014559,0.0,10848.23248930432,0.0005074391505006,-0.0737448899839828,418.326921655142,21.0
1185,ACT-CLJ0905.6+0434,all,0,132.0,140.0,5.120000000000001,2.0,6.0,136.43326931318364,4.561726444430982,0.0003607222234328,0.0056699256665515,130.0,138.0,2.244260883006778,-0.0001328763382192,-0.0076446387345976,2.7111869441920093e-05,11.947233200073242,5.604422268693085,11.927896499633787,0.0,0.0002360471407882,2249859.75,ACT-CLJ0905.6+0434,0.0002666824710668,1.0309560959949498,-0.1824561652484304,0.0,11109.744978299252,-0.0015090035606037,-0.0845838622874271,389.0690246453991,21.0
1232,ACT-CLJ0918.7+0211,all,0,139.0,223.0,3.2,2.0,6.0,139.7031560593457,2.2239511148953213,0.0006321196343065,0.0024717070895709,138.0,222.0,2.999993679859403,-5.391294547635032e-05,-0.0011883427569863,1.737597571715927e-05,15.4503173828125,2.471707089570951,15.4503173828125,0.0,0.0001454156008549,3523246.0,ACT-CLJ0918.7+0211,0.0001361750968769,0.9664545296371204,-0.0069492085641328,0.0047648998418053,11538.245872545303,-0.0007784658160607,-0.0772356988313927,409.739106013837,21.0
1337,ACT-CLJ1005.5+0235,all,0,174.0,163.0,5.120000000000001,2.0,6.0,151.3802284020592,2.584107898594596,0.0001167585981802,0.0006103196253575,173.0,162.0,3.0000012367003333,5.564805198096899e-05,0.0063346527937278,1.4317146719439309e-05,5.946552753448486,0.380892256231348,5.512446403503418,0.0,0.0001023946533678,5194306.0,ACT-CLJ1005.5+0235,0.0001554145362775,1.2675879883465535,0.0767111004104849,0.0,10922.247060924165,0.000158823440047,-0.0745991153593426,421.9752441204068,21.0
1365,ACT-CLJ1029.9+0016,all,0,158.0,105.0,5.120000000000001,2.0,6.0,157.4782812012009,0.2385785896514459,0.0005540467623648,0.0010382955455772,157.0,104.0,3.0000014400534902,-1.1727997183343716e-05,0.0005503229892609,2.0143157053849987e-05,7.332694053649902,1.0382955455772862,7.332694053649902,0.0,0.0001027072648867,1471808.25,ACT-CLJ1029.9+0016,0.0002058687122071,2.22185538051654,-0.1797460400904608,0.5966962472953266,8520.816831954231,0.0011445969529557,-0.0626467753013416,425.479526158464,21.0
