,cluster,x,y,theta_1,theta_2,ra_deg,dec_deg,dist_center_radians,amp_fit,x_center_fit,y_center_fit,sigma,int_flux_Jy,amp_snr,x_snr,y_snr,sigma_snr,snr,masked,noise_ps,hits_ps,Unnamed: 0,Source,rms_map,rms_snr,avg_snr,ntail,amp_fit_snr,mean_fit_snr,std_fit_snr,red_type,RA,DEC,SIDEPROB,FPEAK,FINT,RMS,MAJOR,MINOR,POSANG,FITTED_MAJOR,FITTED_MINOR,FITTED_POSANG,FLDNAME,NSDSS,SDSS_SEP,SDSS_MAG,SDSS_CLASS,NTMASS,TMASS_SEP,TMASS_MAG,YEAR,MJD,MJDRMS,MJDSTART,MJDSTOP,GroupID,GroupSize,Separation
15,ACT-CLJ0201.6-0211,156.0,171.0,2.0,6.0,30.428895784437728,-2.1976212177107164,0.00010488123733227518,0.0014770282432436,156.0,171.0,3.0,0.0015433906608521,5.651191517534798,155.08468237628028,171.70347183320828,0.4072151061162928,5.749184608459473,0.0,0.0001344818592770025,4127539.75,1,ACT-CLJ0201.6-0211,0.0001737831322086,1.1593152821288597,-0.2447575961398735,0.0019051973784484,2916.496245438352,-0.0055931778743871,1.0686751002912145,20.0,30.429674375133217,-2.1966695186856717,0.014053002,12.17,12.782585,0.15029715,1.84,0.54,35.7,6.59,5.51,6.5,02015-02230T,3,0.31494173,16.20037,g,2,0.18760903,14.977,1995.9707,2450072.806727156,7.16795122643869,2450062.6842013896,2450078.6424652785,3,14,4.42528234417198
16,ACT-CLJ0201.6-0211,128.0,168.0,2.0,6.0,30.444462810164648,-2.199287768556739,0.0003347672652228292,0.0009241726947948336,128.0,168.0,3.0,0.000965695485299928,5.632983884040204,128.0178262975572,168.5376551520639,-0.3661309207885191,6.13714075088501,0.0,0.0001451510761398822,3602231.0,1,ACT-CLJ0201.6-0211,0.0001737831322086,1.1593152821288597,-0.2447575961398735,0.0019051973784484,2916.496245438352,-0.0055931778743871,1.0686751002912145,20.0,30.44395288559313,-2.199508316059458,0.014053002,28.25,58.386692,0.15038915,7.57,4.3,72.4,9.38,7.62,65.9,02015-01570E,1,6.1096854,16.626408,g,1,6.147485,14.378,1995.9711,2450072.939852224,6.994525000061182,2450062.6842013896,2450078.6424652785,2,14,1.9988310799412037
42,ACT-CLJ0204.5+0321,196.0,98.0,2.0,6.0,31.122501532817573,3.325144636128705,0.0007026954803697734,0.0052621494978666,196.0,98.0,3.0,0.0054985762311352,16.739057858977844,196.2082212428657,98.12051577773995,0.3582759383511371,19.27762794494629,0.0,0.0002195591951021925,1176138.5,7,ACT-CLJ0204.5+0321,0.0001516822330707,0.9898698379831096,-0.0257914111377305,0.0019059781003116,2870.7950319973343,0.0537853979112755,1.087884164913207,20.0,31.121548632393413,3.3261416163507143,0.014053002,3.35,2.6367743,0.108365394,0.0,0.0,132.2,5.91,4.6,161.3,02045+03151T,1,0.39154938,16.714563,g,1,0.39634115,14.344,2009.1807,2454898.4554805704,0.0005302346639081592,2454898.4553587968,2454898.4598263893,4,15,4.960864088068786
56,ACT-CLJ0207.2+0536,166.0,165.0,2.0,6.0,31.804888365975508,5.608371374384749,4.848136924721859e-05,0.00017337288591079414,166.0,165.0,3.0,0.000181162475520489,5.059797415437783,166.13299743703266,165.53127670349514,-0.3038478177357191,6.527209281921387,0.0,0.00012322749535087496,4126194.5,15,ACT-CLJ0207.2+0536,0.0001525331716082,1.0760091953373916,0.1771414141601467,0.0,2953.3516904832222,0.0784610378993854,1.0552710779505996,20.0,31.80264485114333,5.609247178982898,0.014053002,82.3,104.507454,0.13529593,4.12,1.81,146.8,7.47,5.87,162.0,02075+05256T,3,0.49430647,16.629662,g,1,7.4630365,15.175,2009.24,2454920.0804509567,1.4646517175850235,2454918.432673612,2454921.3854166674,5,12,8.634232297274508
106,ACT-CLJ0220.9-0332,221.0,154.0,2.0,6.0,35.20522289983762,-3.55339524973658,0.0005773151367574866,0.002076281234622,221.0,154.0,3.0,0.002169567901952,7.89004539715595,220.4074984057642,153.57283825140988,-0.3186804762090009,9.214183807373049,0.0,0.0002135523536708206,1665832.25,43,ACT-CLJ0220.9-0332,0.0001873444567317,1.0615768578110945,-0.0740383784706963,0.0057163000295342,2968.0351024413308,-0.030389325356677,1.052258448161119,20.0,35.20618617116863,-3.5544611799259007,0.014053002,59.81,100.791306,0.12089143,6.94,1.83,75.0,8.85,6.58,70.2,02195-03412T,1,0.7268326,19.116083,g,0,99.0,99.0,2008.6233,2454694.6325636697,989.3834006049844,2450592.292870371,2454946.3328587967,11,15,5.167640928912938
158,ACT-CLJ0248.0-0331,173.0,172.0,2.0,6.0,42.01301180146034,-3.5288105550597826,0.0001441454727522832,0.0028083131182938,173.0,172.0,3.0,0.0029344897495018,11.918129758696718,172.8666065417001,171.6716970410121,0.4023722969173181,14.154687881469728,0.0,0.00011749441182473674,5002494.0,93,ACT-CLJ0248.0-0331,0.0001378565448496,1.0642720359390871,0.0121443255931911,0.0019055967376183,3046.447120326613,-0.0031478979615967,1.014941025848138,20.0,42.01411916977089,-3.5290639752708546,0.014053002,38.67,41.36744,0.120004795,1.76,1.26,120.8,6.56,5.64,176.6,02495-03412T,1,0.5949554,15.494929,g,1,0.4440241,14.116,2009.275,2454932.899636191,2.631544130719497,2454932.38556713,2454946.3726851856,16,15,4.0822164978399575
191,ACT-CLJ0839.5-0150,95.0,104.0,2.0,6.0,129.9170181811995,-1.8763286169158984,0.0008592559830680204,0.0043741897679865,95.0,104.0,3.0,0.0045707207479523,13.070236343727256,94.53787346964126,104.21451929713676,0.3889878869480848,15.475653648376465,0.0,0.00025097746402025223,1279015.875,112,ACT-CLJ0839.5-0150,0.0001409364570951,1.034469290661588,0.0815121108004563,0.0047643096038953,3085.4859953815185,-0.0202552416406746,1.0087352599504062,20.0,129.91623590086883,-1.874797280935644,0.031924523,1.83,2.2701266,0.19467472,3.37,2.45,171.4,7.23,5.94,177.3,08390-01440G,2,0.637455,19.95602,g,0,99.0,99.0,1998.6609,2451055.703953493,0.5006280348784793,2451055.16082176,2451056.201608797,18,15,6.189798666511987
232,ACT-CLJ0901.5+0301,213.0,113.0,2.0,6.0,135.35788902918117,2.9901645649472064,0.0006857671044610117,0.0068674078211188,213.0,113.0,3.0,0.0071759583094371,11.376131487430444,213.2754749374644,113.43797603820563,0.2744008124842311,14.113529205322266,0.0,0.00019679850083775816,1748146.75,132,ACT-CLJ0901.5+0301,0.0001505741844802,1.0487674119727306,-0.0152435809516249,0.0,3014.231956140972,-0.0033177262617367,1.0455342249098412,20.0,135.35738315975442,2.9902943846720174,0.08898385,5.5,8.181905,0.15595376,6.99,0.49,4.8,9.48,5.43,3.9,09000+03020G,1,3.7739086,16.926413,g,1,4.061214,14.761,1998.5314,2451008.436797216,2.0535880750120543,2451005.314872686,2451012.34894676,21,15,1.877739632033098
247,ACT-CLJ0905.6+0434,133.0,140.0,2.0,6.0,136.432040616144,4.56221235415048,0.00035294968132132794,0.0030650000553578,133.0,140.0,3.0,0.00320270955047,16.22839432162828,132.700369667779,139.8927120552312,-0.3748883268748911,18.955028533935547,0.0,0.00017868253053165972,2257750.0,137,ACT-CLJ0905.6+0434,0.0002260633577128,1.2420590294521636,-0.262164520103109,0.0038119198734442,3114.1662916932146,-0.0270036847691048,1.0019479285642816,20.0,136.43171727468405,4.563116622683527,0.014053002,7.72,8.464096,0.15449241,1.78,1.59,179.7,5.69,5.63,179.7,09060+04464I,1,0.68929696,18.402687,s,1,0.9172857,15.671,2000.5254,2451736.7788718664,185.299679529172,2451588.69425926,2451968.6979166674,22,15,3.455980646653185
281,ACT-CLJ0918.7+0211,139.0,224.0,2.0,6.0,139.70240837594753,2.223567539496306,0.0006412015332254187,0.0028383918106555,139.0,224.0,3.0,0.0029659198681161,16.980123827029477,139.23755379582357,224.02212667494777,-0.3927840443243596,19.53138732910156,0.0,0.0001436484744772315,3111293.5,147,ACT-CLJ0918.7+0211,0.0001232480002287,1.00660408157553,0.0742840813377222,0.0,3125.505815658435,-0.0568171799171884,1.013513304547658,20.0,139.70246264177138,2.222788802402035,0.014053002,5.38,5.516336,0.15223993,1.31,0.49,147.2,6.5,5.46,176.9,09180+02100G,2,0.22967444,19.044706,s,1,0.09645158,15.369,1998.5507,2451015.4811579026,1.7824157731641923,2451013.3582638893,2451018.3990625003,25,15,2.8102417442231973
