Cluster_1,project_1,scanno_1,amp_jy,X_loc_pixels,y_loc_pixels,RA,DEC,cluster_2,project_2,scanno_2,x,y,sigma_dog,theta_1,theta_2,ra_deg,dec_deg,dist_center_radians,amp_fit,x_center_fit,y_center_fit,sigma,offset,int_flux_Jy,int_flux_err_Jy,peak_snr,peak_flux_mJy_adj,snr,masked,noise_ps,hits_ps,Source,rms_map,rms_snr,avg_snr,ntail,amp_fit_snr,mean_fit_snr,std_fit_snr,offset_fit_snr,red_type,GroupID,GroupSize,Separation
ACT-CLJ0909.5-0050,AGBT21B_298_02,42,0.03,337,345,137.378,-0.8305,ACT-CLJ0909.5-0050,AGBT21B_298_02,42,345.0,346.0,5.120000000000001,2.0,6.0,137.3783060686977,-0.8305166062454424,1.4745032718330194E-4,0.029838371468301168,344.0,344.0,4.293909189904989,-1.9609869633406388E-5,0.024219461794621852,2.524493989967286E-5,70.08895111083984,29.937090900903183,70.08895111083984,0.0,2.3667360073886812E-4,376926.21875,ACT-CLJ0909.5-0050,2.694860719149E-4,1.2375067148056988,0.1443004891581138,0.0076207895137936,9905.137036713326,2.506018342725E-4,-0.0725997555055841,430.5886938738644,21.0,,,1.1033510336058328
ACT-CLJ0916.1-0024,AGBT21B_298_02,47,0.001,314,558,139.0439,-0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACT-CLJ1158.3+0228,AGBT21B_298_05,16,0.003,464,472,179.5535,2.5098,ACT-CLJ1158.3+0228,AGBT21B_298_05,16,490.0,470.0,5.120000000000001,2.0,6.0,179.55357611312056,2.508849357279423,0.0010717778245745088,0.0027400299523683684,489.0,470.0,3.0000024107145222,2.1565459890513926E-4,0.006288624327246298,3.4437312533109245E-5,4.526039123535156,1.9949181871280133,4.246727466583252,0.0,3.438942367210984E-4,214245.53125,ACT-CLJ1158.3+0228,1.385681447886E-4,1.4449673352995094,-0.3770740902305292,0.0247675659198292,10747.675929366793,-2.381034486608E-4,-0.0684903702825086,431.9450434923537,21.0,,,3.4330911745260155
ACT-CLJ0921.0-0148,AGBT21B_298_03,7,0.001,462,472,140.2265,-1.7696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACT-CLJ1343.1-0000,AGBT21B_298_08,59,0.007,321,345,205.769,-0.0077,ACT-CLJ1343.1-0000,AGBT21B_298_08,59,350.0,346.0,5.120000000000001,2.0,6.0,205.769251776616,-0.007760024823938083,1.6512159231949134E-4,0.008267663556889633,348.0,344.0,4.136149489375033,-8.166414741534489E-5,0.004385583632245096,2.5199796623663235E-5,15.889918327331543,8.225495791329115,15.889918327331543,0.0,2.743846853263676E-4,366330.6875,ACT-CLJ1343.1-0000,1.322886829454E-4,1.1717271565535083,-0.0276917930532576,0.0028577960676726,16945.217149717817,-3.374256192783E-4,-0.0664442508103064,423.7225400729888,21.0,,,0.9317982840731097
ACT-CLJ1127.5+0003,AGBT21B_298_08,28,0.03,456,324,171.8522,0.0629,ACT-CLJ1127.5+0003,AGBT21B_298_08,28,481.0,324.0,5.120000000000001,2.0,6.0,171.85252229319417,0.06263738546257072,7.611573507780705E-4,0.026510322558440873,480.0,323.0,4.2678844020688445,-2.1508600321734636E-4,0.016503449495189837,3.30252378839923E-5,40.858497619628906,26.565946552348954,40.858497619628906,0.0,3.470976953394711E-4,148821.578125,ACT-CLJ1127.5+0003,2.193700332718E-4,1.1681655356381624,-0.0725428684389487,0.0,19782.449491475945,6.789430845202E-4,-0.0638032299633722,423.3982060926082,21.0,,,1.4966599695671503
ACT-CLJ0248.3-0337,AGBT22B_242_04,23,0.003,324,345,42.0852,-3.6172,ACT-CLJ0248.3-0337_2aspcmsubqm2_fitel_0f05-to-49f5Hz_qc_0p6rr_M_PdoCals_dt10AGBT22B,AGBT22B_242_04,23,354.0,346.0,5.120000000000001,2.0,6.0,42.08535425506501,-3.617263312583397,1.8036111758371152E-4,0.0025868573709881466,353.0,345.0,4.843098454290536,1.2411823895363777E-4,0.005705530143211744,1.6558627973212886E-5,12.18901252746582,2.452542820203615,12.18901252746582,0.0,1.448068505851552E-4,1075678.0,,,,,,,,,,,1,2,0.5993902834517955
ACT-CLJ0218.2-0041,AGBT22B_242_02,8,0.003,306,414,34.5652,-0.6695,ACT-CLJ0218.2-0041_2aspcmsubqm2_fitel_0f05-to-49f5Hz_qc_0p6rr_M_PdoCals_dt10AGBT22B,AGBT22B_242_02,8,343.0,415.0,5.120000000000001,2.0,6.0,34.56485125681311,-0.6694803376087255,4.506942101352586E-4,0.002655358575763022,342.0,414.0,3.0000113228517757,1.205614057372343E-4,0.003969476565588191,2.6932204537976954E-5,5.8472466468811035,2.4937386747661137,5.8472466468811035,0.0,2.3851649893913418E-4,317353.0,,,,,,,,,,,,,1.2573824092581511
ACT-CLJ0259.4-0524,AGBT22B_242_04,9,0.003,315,558,44.8696,-5.3438,ACT-CLJ0259.4-0524_2aspcmsubqm2_fitel_0f05-to-49f5Hz_qc_0p6rr_M_PdoCals_dt10AGBT22B,AGBT22B_242_04,9,310.0,563.0,5.120000000000001,2.0,6.0,44.87056692703248,-5.3427312097322694,0.0011606904412818468,0.0032294355811612278,309.0,562.0,2.99997942298978,-8.214969771530001E-5,-6.695272363215622E-4,3.869245145702166E-5,2.551666259765625,2.4015509817329734,2.2766072750091553,0.0,5.648495862260461E-4,57533.11328125,,,,,,,,,,,,,5.178619705581469
ACT-CLJ0259.8-0037,AGBT22B_242_03,79,0.007,458,472,44.9421,-0.5737,ACT-CLJ0259.8-0037_2aspcmsubqm2_fitel_0f05-to-49f5Hz_qc_0p6rr_M_PdoCals_dt10AGBT22B,AGBT22B_242_03,79,463.0,471.0,5.120000000000001,2.0,6.0,44.942473694398025,-0.57437612163435,9.808342222548375E-4,0.007118272884664969,462.0,471.0,3.0000126171468318,-6.357481472250641E-4,-0.012400890121999325,4.727072796691568E-5,3.4729561805725098,6.803777625711287,3.4715182781219482,0.0,6.695383926853538E-4,53131.953125,,,,,,,,,,,,,2.7810072889945054
ACT-CLJ0914.7+0011,AGBT21B_298_07,12,0.003,457,472,138.6576,0.2271,ACT-CLJ0914.7+0011,AGBT21B_298_07,12,453.0,476.0,5.120000000000001,2.0,6.0,138.65787672390016,0.22783276340959138,9.665314558868289E-4,0.003925161689087512,453.0,476.0,3.000010272132913,-7.481602615883468E-5,-2.1226377954478668E-4,3.640299655212663E-5,4.197799205780029,3.4585910218345224,4.084609508514404,0.0,3.44266154570505E-4,138608.90625,ACT-CLJ0914.7+0011,1.559700717782E-4,0.9369056903379204,-0.0247419900235459,0.0,17163.800677415704,-4.038863398918E-4,-0.0710927589943277,405.51634339707584,21.0,,,2.8197847450110816
ACT-CLJ1220.4-0240,AGBT21B_298_05,29,0.001,475,324,185.0582,-2.6716,ACT-CLJ1220.4-0240,AGBT21B_298_05,29,483.0,325.0,5.120000000000001,2.0,6.0,185.0585074525485,-2.6715876064004216,7.708688644992319E-4,0.0020059684864305923,482.0,324.0,3.0000005120655526,1.0374433006975056E-4,0.00330307737827942,4.7118163267902424E-5,4.909085273742676,1.5822052813178382,4.818231105804443,0.0,2.1401159756351262E-4,426037.03125,ACT-CLJ1220.4-0240,3.651287316773E-4,2.827725335801703,0.0652809293797094,9.53734346835E-4,10846.556550529844,-0.0010464225050393,-0.0716638375027315,424.5782725138416,21.0,,,1.1065411186618195
ACT-CLJ0258.4+0147,AGBT21B_298_01,21,0.01,467,324,44.5757,1.7976,ACT-CLJ0258.4+0147,AGBT21B_298_01,21,486.0,323.0,5.120000000000001,2.0,6.0,44.57652174949066,1.7970506167481708,7.854129841582501E-4,0.013051698175641696,485.0,322.0,3.000020021844873,-6.331525651322123E-4,-0.009941852150589072,4.437311333292292E-5,5.540452003479004,12.965583444122396,5.506009101867676,0.0,8.332420256920159E-4,70242.4140625,ACT-CLJ0258.4+0147,1.632716496172E-4,0.9830927646225496,3.80209968316E-4,0.0,20012.29547545225,-6.753416911892E-4,-0.0652068671229403,419.1074476451516,21.0,2,3,3.557382701739961
ACT-CLJ1035.1+0249,AGBT21B_298_08,12,0.007,329,345,158.786,2.8389,ACT-CLJ1035.1+0249,AGBT21B_298_08,12,342.0,346.0,5.120000000000001,2.0,6.0,158.78611629327997,2.83885546038749,1.378099435991689E-4,0.006877096976730968,341.0,345.0,4.744462706948765,7.782448686195448E-5,0.008817551646358814,2.136166675253424E-5,20.10488510131836,6.824756771706982,20.10488510131836,0.0,2.1819905668962747E-4,326924.5625,ACT-CLJ1035.1+0249,1.127355379998E-4,0.9812364886850096,-0.0508355019658428,0.004762993446121,17338.11176774063,-6.185086610878E-4,-0.068632645895885,418.9774583696404,21.0,,,0.4479460378764894
ACT-CLJ0236.7-0228,AGBT22B_242_03,11,0.03,467,324,39.1368,-2.47,ACT-CLJ0236.7-0228_2aspcmsubqm2_fitel_0f05-to-49f5Hz_qc_0p6rr_M_PdoCals_dt10AGBT22B,AGBT22B_242_03,11,471.0,324.0,5.120000000000001,2.0,6.0,39.1371415389884,-2.4702905099718313,7.126760078299979E-4,0.02973598114479108,470.0,323.0,4.1736255894151295,-2.376970342173552E-4,0.01753516822744199,2.3634580618198388E-5,89.56372833251953,29.772184138506297,89.56372833251953,0.0,1.7384064267389476E-4,769555.3125,,,,,,,,,,,,,1.6132323672613764
ACT-CLJ0922.1+0346,AGBT21B_298_03,10,0.01,318,324,140.5337,3.7714,ACT-CLJ0922.1+0346,AGBT21B_298_03,10,338.0,325.0,5.120000000000001,2.0,6.0,140.53402076200285,3.7714142913747177,6.804684435120278E-5,0.009890021936796145,336.0,323.0,4.187221126983181,-1.8576478336919866E-4,0.0033185107882465563,1.8083582966332552E-5,47.02091598510742,9.858844384060506,47.02091598510742,0.0,1.1021576210623607E-4,1250255.75,ACT-CLJ0922.1+0346,1.502766867436E-4,1.1813567683345418,-0.1116249117257842,0.0,10700.158156154946,-5.335464672581E-4,-0.0763333232072499,421.05460285158216,21.0,,,1.1533946203267447
ACT-CLJ0201.6-0211,AGBT21B_298_01,11,0.003,471,324,30.3821,-2.1994,ACT-CLJ0201.6-0211,AGBT21B_298_01,11,486.0,322.0,5.120000000000001,2.0,6.0,30.383424069323993,-2.2001891902216584,7.854578721495942E-4,0.0029768634037956243,486.0,321.0,2.9999980826291983,-6.416453236558284E-4,-0.014215410862388098,3.897160584812302E-5,1.5327811241149902,2.6278285736907274,1.4877829551696777,0.0,4.6072143595665693E-4,96842.0234375,ACT-CLJ0201.6-0211,1.673095320848E-4,1.5818999642196256,0.3254381232019716,0.0104811815150071,16536.449781069503,-0.0011598928179451,-0.0655565338241612,432.0940618839256,21.0,3,4,5.546196562981481
ACT-CLJ0221.7-0346,AGBT22B_242_02,19,0.007,320,558,35.4374,-3.7074,ACT-CLJ0221.7-0346_2aspcmsubqm2_fitel_0f05-to-49f5Hz_qc_0p6rr_M_PdoCals_dt10AGBT22B,AGBT22B_242_02,19,337.0,558.0,5.120000000000001,2.0,6.0,35.43741754129277,-3.707725601056937,0.0011362129196563402,0.004613906271807303,336.0,557.0,3.0000193613156907,-3.114207822047173E-4,-0.005619328063235707,4.161621337752703E-5,2.8746554851531982,3.941358728910238,2.7895665168762207,0.0,6.703600520268083E-4,60949.30078125,,,,,,,,,,,,,1.1735561749914811
ACT-CLJ0913.2+0349,AGBT21B_298_02,43,0.01,314,414,138.3143,3.8482,ACT-CLJ0913.2+0349,AGBT21B_298_02,43,323.0,414.0,5.120000000000001,2.0,6.0,138.31447213137446,3.847933672833521,4.363592291312731E-4,0.009625138500857203,321.0,412.0,4.268769459661938,6.319707018842172E-5,0.009390157605834067,2.6531100726817858E-5,18.68069076538086,9.583811186984603,18.68069076538086,0.0,2.878752420656383E-4,263726.0,ACT-CLJ0913.2+0349,1.83707869597E-4,1.2374718634446626,-0.3591635497192381,0.0,16711.680721258883,-8.364682652774E-4,-0.0645514138263448,429.2790493545513,21.0,,,1.1410922371417622
ACT-CLJ0248.9-0328,AGBT22B_242_03,60,0.007,318,324,42.2412,-3.4806,ACT-CLJ0248.9-0328_2aspcmsubqm2_fitel_0f05-to-49f5Hz_qc_0p6rr_M_PdoCals_dt10AGBT22B,AGBT22B_242_03,60,322.0,324.0,5.120000000000001,2.0,6.0,42.24132882969917,-3.4808795450461614,9.696273857052476E-6,0.006369860180096769,321.0,323.0,4.730319896458205,-3.4036980426139146E-4,-0.0017818005080190444,1.938288518887512E-5,22.555633544921875,6.307312070524864,22.555633544921875,0.0,1.590964529896155E-4,872101.25,,,,,,,,,,,,,1.1073440330491422
ACT-CLJ1036.2-0223,AGBT21B_298_04,11,0.001,304,558,159.0613,-2.3198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
