cluster,x,y,sigma_dog,theta_1,theta_2,ra_deg,dec_deg,dist_center_radians,amp_fit,x_center_fit,y_center_fit,sigma,int_flux_Jy,amp_snr,x_snr,y_snr,sigma_snr,snr,masked,noise_ps,hits_ps
ACT-CLJ0200.3+0019,168.0,169.0,3.2,2.0,6.0,30.08734196611677,0.32757918364171584,8.939522765649985e-05,0.013327295891940594,168.0,169.0,3.0,0.013926087133488047,66.87311190123842,168.46233072367662,168.7213596450935,0.3623847115922435,49.24818801879883,0.0,0.000122121098684147,3812276.75
ACT-CLJ0200.3+0019,181.0,179.0,3.2,2.0,6.0,30.080119620028288,0.33313473415316397,0.0002472074429934511,0.0013125976547598839,181.0,179.0,3.0,0.0013715722573888573,11.883610411140776,179.93033985968697,178.75497462731315,-0.3915719504098086,7.799314022064209,0.0,0.00012454642273951322,3742779.5
ACT-CLJ0201.6-0211,156.0,171.0,5.120000000000001,2.0,6.0,30.428911042918273,-2.197522989260896,0.00010488123733208685,0.001352854073047638,156.0,171.0,3.0,0.0014136373839758961,5.425236643772787,155.10273610230706,171.3935623625133,0.4122355296842425,5.656224727630615,0.0,0.00013706227764487267,4044124.0
ACT-CLJ0201.6-0211,128.0,168.0,5.120000000000001,2.0,6.0,30.44447806762012,-2.199189540112098,0.0003347672652227937,0.0015196684980764985,128.0,168.0,3.0,0.001587946729015609,5.408314168148845,128.63281212249416,168.02466519426366,0.37159693229973134,5.7704315185546875,0.0,0.00014799127529840916,3513853.25
ACT-CLJ0201.6-0503,270.0,164.0,3.2,2.0,6.0,30.35246993090884,-5.058017730577192,0.0010473767387989244,0.021671665832400322,270.0,164.0,3.0,0.022645367008948217,31.711526541035767,269.55558142144065,164.05998514958011,0.38131704401318584,32.95976638793945,0.0,0.00043901591561734676,342866.9375
ACT-CLJ0203.0-0042,166.0,163.0,3.2,2.0,6.0,30.750186588333285,-0.7101276704818641,3.9978761266027554e-05,0.0062779635190963745,166.0,163.0,3.0,0.00656003045904198,30.31546749182999,165.81071602443515,163.27104668678325,0.37841128072424224,31.862520217895508,0.0,0.00012373345089145005,4976848.0
ACT-CLJ0203.2-0123,164.0,179.0,3.2,2.0,6.0,30.815395900969442,-1.390753180310845,0.00016597347203687595,0.003424946218729019,164.0,179.0,3.0,0.0035788279825297465,14.907776985776364,164.01182940399573,179.0962161490379,0.3501050197075194,17.60135269165039,0.0,0.00012473564129322767,4658644.0
ACT-CLJ0203.2-0123,127.0,287.0,5.120000000000001,2.0,6.0,30.835957015197057,-1.3307531363930012,0.0012586488874718861,-0.0015840244013816118,127.0,287.0,3.0,-0.001655194122954188,3.077447564227514,126.23885378711184,287.7523572870011,-0.2080509279311959,3.218533992767334,0.0,0.0005587287014350295,175581.0625
ACT-CLJ0203.2-0123,58.0,189.0,5.120000000000001,2.0,6.0,30.874301986518468,-1.3851969207020487,0.001041841575968348,0.0011297878809273243,58.0,189.0,3.0,0.001180548897519958,3.1196827964805083,58.131844721607855,189.22007782895204,-0.2510649070910923,3.390735626220703,0.0,0.000396584568079561,365719.375
ACT-CLJ0203.7+0216,257.0,174.0,5.120000000000001,2.0,6.0,30.880864160792868,2.270603653108693,0.000928465422502006,-0.001948933582752943,257.0,174.0,3.0,-0.0020364985598625065,2.2903480529785156,257.0,174.0,3.0,2.9504222869873047,0.0,0.00036652860580943525,444849.1875
ACT-CLJ0203.7+0216,69.0,134.0,5.120000000000001,2.0,6.0,30.985389853902124,2.2483814799645447,0.0009417370608047264,-0.0006430367357097566,69.0,134.0,3.0,-0.0006719281753880123,2.466726779937744,69.0,134.0,3.0,3.177633047103882,0.0,0.0002942172286566347,732545.875
ACT-CLJ0203.7+0216,210.0,164.0,3.2,2.0,6.0,30.906995878796472,2.265048815816161,0.0004658249476519829,0.0013585624983534217,210.0,164.0,3.0,0.0014196022870476008,5.012397089464935,210.00725976725508,163.47601139051844,0.4372931660602276,5.823741912841797,0.0,0.00015638957847841084,3039284.5
ACT-CLJ0248.0-0331,173.0,172.0,3.2,2.0,6.0,42.013259755175,-3.529051119408406,0.0001441454727522926,0.002929621608927846,173.0,172.0,3.0,0.0030612485927284374,11.51325617838848,173.3363283765874,172.20504561074478,-0.4074557966203831,13.697317123413086,0.0,0.00012152061390224844,4837591.5
ACT-CLJ0248.0-0331,170.0,157.0,3.2,2.0,6.0,42.01492954833294,-3.537384462366855,9.147446436280609e-05,0.0011747463140636683,170.0,157.0,3.0,0.0012275272990140257,5.372258399247905,169.3966087574819,157.23900822095422,0.398148438675804,5.770867347717285,0.0,0.00011871452443301678,5009633.0
ACT-CLJ0248.0-0331,175.0,284.0,5.120000000000001,2.0,6.0,42.01214701842362,-3.4668289198003177,0.0011896417548466303,0.00170416000764817,175.0,284.0,3.0,0.001780727384485076,3.5279589726749623,175.1493886051772,283.36611608252724,-0.2769117130088009,3.3848822116851807,0.0,0.00045078431139700115,464948.9375
ACT-CLJ0248.0-0331,240.0,134.0,5.120000000000001,2.0,6.0,41.97596583438749,-3.550161234075884,0.0008035629838894,0.0002389973378740251,240.0,134.0,3.0,0.0002497354136121549,3.946046925867463,239.00408284104208,133.7156702008183,0.29525926787412626,3.9610648155212402,0.0,0.0002473981585353613,1146830.625
ACT-CLJ0248.2+0238,184.0,160.0,3.2,2.0,6.0,42.04656078825868,2.6331518675496786,0.00021419768726784844,0.026181219145655632,184.0,160.0,3.0,0.027357533143976435,121.33530869641717,183.68456310343825,160.40803301607588,0.368040076059372,57.20205307006836,0.0,0.00012766664440277964,3814088.5
ACT-CLJ0248.2-0216,199.0,192.0,5.120000000000001,2.0,6.0,42.03920866104936,-2.253232556607977,0.00046187248409627104,0.004961229860782623,199.0,192.0,3.0,0.005184136368751492,23.66368033405003,199.29208129510778,192.36640110588053,-0.3719973752468467,25.98055648803711,0.0,0.000154091976583004,3013779.0
