cluster,project,scanno,x,y,sigma_dog,theta_1,theta_2,ra_deg,dec_deg,dist_center_radians,amp_fit,x_center_fit,y_center_fit,sigma,offset,int_flux_Jy,int_flux_err_Jy,peak_snr,peak_flux_mJy_adj,snr,masked,noise_ps,hits_ps,Source,rms_map,rms_snr,avg_snr,ntail,amp_fit_snr,mean_fit_snr,std_fit_snr,offset_fit_snr,red_type,cntr_01,dist_x,pang_x,ra_01,dec_01,designation,ra,dec,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,w3mpro,w3sigmpro,w3snr,w3rchi2,w4mpro,w4sigmpro,w4snr,w4rchi2,nb,na,w1sat,w2sat,w3sat,w4sat,pmra,sigpmra,pmdec,sigpmdec,cc_flags,ext_flg,var_flg,ph_qual,moon_lev,w1nm,w1m,w2nm,w2m,w3nm,w3m,w4nm,w4m,GroupID,GroupSize,Separation
ACT-CLJ0201.6-0211,all,0,132.0,160.0,3.2,2.0,4.0,30.445338386246096,-2.1988158100847235,2.915339090566248E-4,9.473144432234347E-4,131.0,159.0,2.9999972697390733,4.797607116517605E-5,0.006141736743510923,1.1588406339002608E-5,9.286065101623535,0.6630299215908693,9.286065101623535,0.0,9.388342732563615E-5,6424196.0,ACT-CLJ0201.6-0211,1.673095320848E-4,1.5818999642196256,0.3254381232019716,0.0104811815150071,16536.449781069503,-0.0011598928179451,-0.0655565338241612,432.0940618839256,21.0,2,72.24437,77.624232,30.42556,-2.202621222,J020146.84-021153.9,30.445176,-2.1983201,0.0546,0.0529,-0.0087,13.84,0.026,41.6,1.784,13.6,0.034,31.9,0.9387,12.422,0.406,2.7,0.8977,9.043,,0.8,0.9691,1,0,0.0,0.0,0.0,0.0,0,57,0,58,0000,0,11nn,AACU,1300,48,48,34,34,1,23,0,24,1,14,1.8777338181896623
ACT-CLJ0201.6-0211,all,0,159.0,164.0,3.2,2.0,4.0,30.43032733137873,-2.1965936799523202,3.496041255821966E-5,6.75549965741401E-4,158.0,163.0,3.000000051249713,3.003935006292579E-5,0.0039786809209112995,1.1206585075002985E-5,9.286065101623535,0.42794198059180477,6.961557388305664,0.0,8.953602809924632E-5,6842543.0,ACT-CLJ0201.6-0211,1.673095320848E-4,1.5818999642196256,0.3254381232019716,0.0104811815150071,16536.449781069503,-0.0011598928179451,-0.0655565338241612,432.0940618839256,21.0,2,26.118214,34.225316,30.42556,-2.202621222,J020143.11-021147.8,30.4296436,-2.1966225,0.0587,0.0665,0.0132,13.883,0.03,36.5,3.227,13.668,0.041,26.5,1.105,11.973,,1.5,0.9031,8.161,,1.8,0.8785,2,1,0.0,0.0,0.0,0.0,230,51,-48,52,0000,1,nnnn,AAUU,1300,49,49,35,35,0,23,0,23,2,2,2.46181154190335
ACT-CLJ0201.6-0211,all,0,132.0,160.0,3.2,2.0,5.0,30.445338386246096,-2.1988158100847235,2.915339090566248E-4,9.473144432234347E-4,131.0,159.0,2.9999972697390733,4.797607116517605E-5,0.006141736743510923,1.1588406339002608E-5,9.286065101623535,0.6630299215908693,9.286065101623535,0.0,9.388342732563615E-5,6424196.0,ACT-CLJ0201.6-0211,1.673095320848E-4,1.5818999642196256,0.3254381232019716,0.0104811815150071,16536.449781069503,-0.0011598928179451,-0.0655565338241612,432.0940618839256,21.0,2,72.24437,77.624232,30.42556,-2.202621222,J020146.84-021153.9,30.445176,-2.1983201,0.0546,0.0529,-0.0087,13.84,0.026,41.6,1.784,13.6,0.034,31.9,0.9387,12.422,0.406,2.7,0.8977,9.043,,0.8,0.9691,1,0,0.0,0.0,0.0,0.0,0,57,0,58,0000,0,11nn,AACU,1300,48,48,34,34,1,23,0,24,1,14,1.8777338181896623
ACT-CLJ0201.6-0211,all,0,159.0,164.0,3.2,2.0,5.0,30.43032733137873,-2.1965936799523202,3.496041255821966E-5,6.75549965741401E-4,158.0,163.0,3.000000051249713,3.003935006292579E-5,0.0039786809209112995,1.1206585075002985E-5,9.286065101623535,0.42794198059180477,6.961557388305664,0.0,8.953602809924632E-5,6842543.0,ACT-CLJ0201.6-0211,1.673095320848E-4,1.5818999642196256,0.3254381232019716,0.0104811815150071,16536.449781069503,-0.0011598928179451,-0.0655565338241612,432.0940618839256,21.0,2,26.118214,34.225316,30.42556,-2.202621222,J020143.11-021147.8,30.4296436,-2.1966225,0.0587,0.0665,0.0132,13.883,0.03,36.5,3.227,13.668,0.041,26.5,1.105,11.973,,1.5,0.9031,8.161,,1.8,0.8785,2,1,0.0,0.0,0.0,0.0,230,51,-48,52,0000,1,nnnn,AAUU,1300,49,49,35,35,0,23,0,23,2,2,2.46181154190335
ACT-CLJ0201.6-0211,all,0,131.0,160.0,5.120000000000001,2.0,6.0,30.445894351117953,-2.198815803776432,3.012093969103865E-4,0.0010373553671572584,130.0,159.0,2.9999976967457247,4.5722638252249724E-5,0.0060706268373528485,1.1559848478071205E-5,9.286065101623535,0.7469419385914569,8.567449569702148,0.0,9.43725899560377E-5,6105826.0,ACT-CLJ0201.6-0211,1.673095320848E-4,1.5818999642196256,0.3254381232019716,0.0104811815150071,16536.449781069503,-0.0011598928179451,-0.0655565338241612,432.0940618839256,21.0,2,72.24437,77.624232,30.42556,-2.202621222,J020146.84-021153.9,30.445176,-2.1983201,0.0546,0.0529,-0.0087,13.84,0.026,41.6,1.784,13.6,0.034,31.9,0.9387,12.422,0.406,2.7,0.8977,9.043,,0.8,0.9691,1,0,0.0,0.0,0.0,0.0,0,57,0,58,0000,0,11nn,AACU,1300,48,48,34,34,1,23,0,24,1,14,3.1404529795640204
ACT-CLJ0201.6-0211,all,0,160.0,162.0,5.120000000000001,2.0,6.0,30.429771368113496,-2.1977047916065393,1.9392547711478663E-5,6.604071668355374E-4,159.0,161.0,3.000000959653069,1.9020621122368112E-5,0.002895158392056473,1.1173704609472805E-5,9.286065101623535,0.415897613160759,6.390590190887451,0.0,8.913020428735763E-5,6821979.0,ACT-CLJ0201.6-0211,1.673095320848E-4,1.5818999642196256,0.3254381232019716,0.0104811815150071,16536.449781069503,-0.0011598928179451,-0.0655565338241612,432.0940618839256,21.0,2,24.824323,47.012557,30.42556,-2.202621222,J020143.34-021152.5,30.4306079,-2.1979195,0.1472,0.1451,-0.0882,15.008,0.066,16.4,1.314,14.688,0.087,12.4,0.9653,12.252,0.482,2.3,0.975,8.887,,0.3,0.7386,2,0,0.0,0.0,0.0,0.0,-169,176,182,206,0000,0,11nn,AACU,1300,47,49,18,35,0,23,0,23,3,9,3.106981704203581
ACT-CLJ0201.6-0211,all,0,131.0,160.0,5.120000000000001,2.0,7.0,30.445894351117953,-2.198815803776432,3.012093969103865E-4,0.0010373553671572584,130.0,159.0,2.9999976967457247,4.5722638252249724E-5,0.0060706268373528485,1.1559848478071205E-5,9.286065101623535,0.7469419385914569,8.567449569702148,0.0,9.43725899560377E-5,6105826.0,ACT-CLJ0201.6-0211,1.673095320848E-4,1.5818999642196256,0.3254381232019716,0.0104811815150071,16536.449781069503,-0.0011598928179451,-0.0655565338241612,432.0940618839256,21.0,2,72.24437,77.624232,30.42556,-2.202621222,J020146.84-021153.9,30.445176,-2.1983201,0.0546,0.0529,-0.0087,13.84,0.026,41.6,1.784,13.6,0.034,31.9,0.9387,12.422,0.406,2.7,0.8977,9.043,,0.8,0.9691,1,0,0.0,0.0,0.0,0.0,0,57,0,58,0000,0,11nn,AACU,1300,48,48,34,34,1,23,0,24,1,14,3.1404529795640204
ACT-CLJ0201.6-0211,all,0,160.0,162.0,5.120000000000001,2.0,7.0,30.429771368113496,-2.1977047916065393,1.9392547711478663E-5,6.604071668355374E-4,159.0,161.0,3.000000959653069,1.9020621122368112E-5,0.002895158392056473,1.1173704609472805E-5,9.286065101623535,0.415897613160759,6.390590190887451,0.0,8.913020428735763E-5,6821979.0,ACT-CLJ0201.6-0211,1.673095320848E-4,1.5818999642196256,0.3254381232019716,0.0104811815150071,16536.449781069503,-0.0011598928179451,-0.0655565338241612,432.0940618839256,21.0,2,24.824323,47.012557,30.42556,-2.202621222,J020143.34-021152.5,30.4306079,-2.1979195,0.1472,0.1451,-0.0882,15.008,0.066,16.4,1.314,14.688,0.087,12.4,0.9653,12.252,0.482,2.3,0.975,8.887,,0.3,0.7386,2,0,0.0,0.0,0.0,0.0,-169,176,182,206,0000,0,11nn,AACU,1300,47,49,18,35,0,23,0,23,3,9,3.106981704203581
ACT-CLJ0201.6-0211,all,0,132.0,160.0,3.0,3.0,4.0,30.445338386246096,-2.1988158100847235,2.915339090566248E-4,9.473144432234347E-4,131.0,159.0,2.9999972697390733,4.797607116517605E-5,0.006141736743510923,1.1588406339002608E-5,9.286065101623535,0.6630299215908693,9.286065101623535,0.0,9.388342732563615E-5,6424196.0,ACT-CLJ0201.6-0211,1.673095320848E-4,1.5818999642196256,0.3254381232019716,0.0104811815150071,16536.449781069503,-0.0011598928179451,-0.0655565338241612,432.0940618839256,21.0,2,72.24437,77.624232,30.42556,-2.202621222,J020146.84-021153.9,30.445176,-2.1983201,0.0546,0.0529,-0.0087,13.84,0.026,41.6,1.784,13.6,0.034,31.9,0.9387,12.422,0.406,2.7,0.8977,9.043,,0.8,0.9691,1,0,0.0,0.0,0.0,0.0,0,57,0,58,0000,0,11nn,AACU,1300,48,48,34,34,1,23,0,24,1,14,1.8777338181896623
ACT-CLJ0201.6-0211,all,0,132.0,160.0,4.800000000000001,3.0,5.0,30.445338386246096,-2.1988158100847235,2.915339090566248E-4,9.473144432234347E-4,131.0,159.0,2.9999972697390733,4.797607116517605E-5,0.006141736743510923,1.1588406339002608E-5,9.286065101623535,0.6630299215908693,9.286065101623535,0.0,9.388342732563615E-5,6424196.0,ACT-CLJ0201.6-0211,1.673095320848E-4,1.5818999642196256,0.3254381232019716,0.0104811815150071,16536.449781069503,-0.0011598928179451,-0.0655565338241612,432.0940618839256,21.0,2,72.24437,77.624232,30.42556,-2.202621222,J020146.84-021153.9,30.445176,-2.1983201,0.0546,0.0529,-0.0087,13.84,0.026,41.6,1.784,13.6,0.034,31.9,0.9387,12.422,0.406,2.7,0.8977,9.043,,0.8,0.9691,1,0,0.0,0.0,0.0,0.0,0,57,0,58,0000,0,11nn,AACU,1300,48,48,34,34,1,23,0,24,1,14,1.8777338181896623
