cluster,project,scanno,x,y,sigma_dog,theta_1,theta_2,ra_deg,dec_deg,dist_center_radians,amp_fit,x_center_fit,y_center_fit,sigma,offset,int_flux_Jy,int_flux_err_Jy,peak_snr,peak_flux_mJy_adj,snr,masked,noise_ps,hits_ps,Source,rms_map,rms_snr,avg_snr,ntail,amp_fit_snr,mean_fit_snr,std_fit_snr,offset_fit_snr,red_type,Source_name,RA,E_RA,DEC,E_DEC,Total_flux,E_Total_flux,Peak_flux,E_Peak_flux,Maj,E_Maj,Min,E_Min,PA,E_PA,RMS_noise,Source_code,Mosaic_name,GroupID,GroupSize,Separation
ACT-CLJ0201.6-0211,all,0,159.0,164.0,3.2,2.0,4.0,30.43032733137873,-2.1965936799523202,3.496041255821966E-5,6.75549965741401E-4,158.0,163.0,3.000000051249713,3.003935006292579E-5,0.0039786809209112995,1.1206585075002985E-5,9.286065101623535,0.42794198059180477,6.961557388305664,0.0,8.953602809924632E-5,6842543.0,ACT-CLJ0201.6-0211,1.673095320848E-4,1.5818999642196256,0.3254381232019716,0.0104811815150071,16536.449781069503,-0.0011598928179451,-0.0655565338241612,432.0940618839256,21.0,TGSSADR J020142.8-021153,30.42872,2.1,-2.1982,2.0,429.3,43.6,178.2,18.0,58.6,1.2,26.2,0.3,22.6,1.2,2.8,M,R07D31,1,13,8.17637403471181
ACT-CLJ0201.6-0211,all,0,159.0,164.0,3.2,2.0,5.0,30.43032733137873,-2.1965936799523202,3.496041255821966E-5,6.75549965741401E-4,158.0,163.0,3.000000051249713,3.003935006292579E-5,0.0039786809209112995,1.1206585075002985E-5,9.286065101623535,0.42794198059180477,6.961557388305664,0.0,8.953602809924632E-5,6842543.0,ACT-CLJ0201.6-0211,1.673095320848E-4,1.5818999642196256,0.3254381232019716,0.0104811815150071,16536.449781069503,-0.0011598928179451,-0.0655565338241612,432.0940618839256,21.0,TGSSADR J020142.8-021153,30.42872,2.1,-2.1982,2.0,429.3,43.6,178.2,18.0,58.6,1.2,26.2,0.3,22.6,1.2,2.8,M,R07D31,1,13,8.17637403471181
ACT-CLJ0201.6-0211,all,0,131.0,160.0,5.120000000000001,2.0,6.0,30.445894351117953,-2.198815803776432,3.012093969103865E-4,0.0010373553671572584,130.0,159.0,2.9999976967457247,4.5722638252249724E-5,0.0060706268373528485,1.1559848478071205E-5,9.286065101623535,0.7469419385914569,8.567449569702148,0.0,9.43725899560377E-5,6105826.0,ACT-CLJ0201.6-0211,1.673095320848E-4,1.5818999642196256,0.3254381232019716,0.0104811815150071,16536.449781069503,-0.0011598928179451,-0.0655565338241612,432.0940618839256,21.0,TGSSADR J020147.4-021154,30.44785,2.0,-2.19855,2.0,479.7,48.3,260.9,26.2,48.2,0.7,27.4,0.3,83.9,1.2,2.8,M,R07D31,2,5,7.0973489515074
ACT-CLJ0201.6-0211,all,0,160.0,162.0,5.120000000000001,2.0,6.0,30.429771368113496,-2.1977047916065393,1.9392547711478663E-5,6.604071668355374E-4,159.0,161.0,3.000000959653069,1.9020621122368112E-5,0.002895158392056473,1.1173704609472805E-5,9.286065101623535,0.415897613160759,6.390590190887451,0.0,8.913020428735763E-5,6821979.0,ACT-CLJ0201.6-0211,1.673095320848E-4,1.5818999642196256,0.3254381232019716,0.0104811815150071,16536.449781069503,-0.0011598928179451,-0.0655565338241612,432.0940618839256,21.0,TGSSADR J020142.8-021153,30.42872,2.1,-2.1982,2.0,429.3,43.6,178.2,18.0,58.6,1.2,26.2,0.3,22.6,1.2,2.8,M,R07D31,1,13,4.1796796903578315
ACT-CLJ0201.6-0211,all,0,131.0,160.0,5.120000000000001,2.0,7.0,30.445894351117953,-2.198815803776432,3.012093969103865E-4,0.0010373553671572584,130.0,159.0,2.9999976967457247,4.5722638252249724E-5,0.0060706268373528485,1.1559848478071205E-5,9.286065101623535,0.7469419385914569,8.567449569702148,0.0,9.43725899560377E-5,6105826.0,ACT-CLJ0201.6-0211,1.673095320848E-4,1.5818999642196256,0.3254381232019716,0.0104811815150071,16536.449781069503,-0.0011598928179451,-0.0655565338241612,432.0940618839256,21.0,TGSSADR J020147.4-021154,30.44785,2.0,-2.19855,2.0,479.7,48.3,260.9,26.2,48.2,0.7,27.4,0.3,83.9,1.2,2.8,M,R07D31,2,5,7.0973489515074
ACT-CLJ0201.6-0211,all,0,160.0,162.0,5.120000000000001,2.0,7.0,30.429771368113496,-2.1977047916065393,1.9392547711478663E-5,6.604071668355374E-4,159.0,161.0,3.000000959653069,1.9020621122368112E-5,0.002895158392056473,1.1173704609472805E-5,9.286065101623535,0.415897613160759,6.390590190887451,0.0,8.913020428735763E-5,6821979.0,ACT-CLJ0201.6-0211,1.673095320848E-4,1.5818999642196256,0.3254381232019716,0.0104811815150071,16536.449781069503,-0.0011598928179451,-0.0655565338241612,432.0940618839256,21.0,TGSSADR J020142.8-021153,30.42872,2.1,-2.1982,2.0,429.3,43.6,178.2,18.0,58.6,1.2,26.2,0.3,22.6,1.2,2.8,M,R07D31,1,13,4.1796796903578315
ACT-CLJ0201.6-0211,all,0,160.0,162.0,4.800000000000001,3.0,5.0,30.429771368113496,-2.1977047916065393,1.9392547711478663E-5,6.604071668355374E-4,159.0,161.0,3.000000959653069,1.9020621122368112E-5,0.002895158392056473,1.1173704609472805E-5,9.286065101623535,0.415897613160759,6.390590190887451,0.0,8.913020428735763E-5,6821979.0,ACT-CLJ0201.6-0211,1.673095320848E-4,1.5818999642196256,0.3254381232019716,0.0104811815150071,16536.449781069503,-0.0011598928179451,-0.0655565338241612,432.0940618839256,21.0,TGSSADR J020142.8-021153,30.42872,2.1,-2.1982,2.0,429.3,43.6,178.2,18.0,58.6,1.2,26.2,0.3,22.6,1.2,2.8,M,R07D31,1,13,4.1796796903578315
ACT-CLJ0201.6-0211,all,0,160.0,162.0,4.800000000000001,3.0,6.0,30.429771368113496,-2.1977047916065393,1.9392547711478663E-5,6.604071668355374E-4,159.0,161.0,3.000000959653069,1.9020621122368112E-5,0.002895158392056473,1.1173704609472805E-5,9.286065101623535,0.415897613160759,6.390590190887451,0.0,8.913020428735763E-5,6821979.0,ACT-CLJ0201.6-0211,1.673095320848E-4,1.5818999642196256,0.3254381232019716,0.0104811815150071,16536.449781069503,-0.0011598928179451,-0.0655565338241612,432.0940618839256,21.0,TGSSADR J020142.8-021153,30.42872,2.1,-2.1982,2.0,429.3,43.6,178.2,18.0,58.6,1.2,26.2,0.3,22.6,1.2,2.8,M,R07D31,1,13,4.1796796903578315
ACT-CLJ0201.6-0211,all,0,160.0,162.0,4.800000000000001,3.0,7.0,30.429771368113496,-2.1977047916065393,1.9392547711478663E-5,6.604071668355374E-4,159.0,161.0,3.000000959653069,1.9020621122368112E-5,0.002895158392056473,1.1173704609472805E-5,9.286065101623535,0.415897613160759,6.390590190887451,0.0,8.913020428735763E-5,6821979.0,ACT-CLJ0201.6-0211,1.673095320848E-4,1.5818999642196256,0.3254381232019716,0.0104811815150071,16536.449781069503,-0.0011598928179451,-0.0655565338241612,432.0940618839256,21.0,TGSSADR J020142.8-021153,30.42872,2.1,-2.1982,2.0,429.3,43.6,178.2,18.0,58.6,1.2,26.2,0.3,22.6,1.2,2.8,M,R07D31,1,13,4.1796796903578315
ACT-CLJ0201.6-0211,all,0,159.0,163.0,4.0,4.0,5.0,30.430327331999354,-2.1971492355209734,3.0662310195211164E-5,7.448746896111506E-4,158.0,162.0,3.0000011083935614,2.336702260900391E-5,0.0034493820679269644,1.1217573710850937E-5,9.286065101623535,0.48253391463580847,6.989791393280029,0.0,8.934945799410343E-5,6721175.0,ACT-CLJ0201.6-0211,1.673095320848E-4,1.5818999642196256,0.3254381232019716,0.0104811815150071,16536.449781069503,-0.0011598928179451,-0.0655565338241612,432.0940618839256,21.0,TGSSADR J020142.8-021153,30.42872,2.1,-2.1982,2.0,429.3,43.6,178.2,18.0,58.6,1.2,26.2,0.3,22.6,1.2,2.8,M,R07D31,1,13,6.908131293358451
