,e,Source,Group,index in SB,RA,Dec,DSS Session (fixed),SemesterProject_session(include project! we re-proposed for this sample),reduction1_exists,reduction2_exists
0,0,ACT-CLJ0200.3+0019,fall,0.0,2:00:21,+00:19:30.0,1.0,21B_298_1 x2,1.0,
1,1,ACT-CLJ0201.6-0211,fall,1.0,2:01:42,-2:11:56,1.0,"21B_298_1 x2, 22B_242_04",1.0,1.0
2,2,ACT-CLJ0201.6-0503,fall,2.0,2:01:39,-5:03:21,1.0,"21B_298_1, 22B_242_04",1.0,1.0
3,3,ACT-CLJ0203.0-0042,fall,3.0,2:03:00,-0:42:26,1.0,"21B_298_1, 22B_242_04",1.0,1.0
4,4,ACT-CLJ0203.2-0123,fall,4.0,2:03:16,-1:23:48,,"21B_298_1, 22B_242_04",1.0,1.0
5,5,ACT-CLJ0203.7+0216,fall,5.0,2:03:44,+02:16:04.09792,1.0,"21B_298_1, 22B_242_04",1.0,1.0
6,6,ACT-CLJ0203.9-0205,fall,6.0,2:03:57,-2:05:30,1.0,22B_242_1,,1.0
7,7,ACT-CLJ0204.5+0321,fall,7.0,2:04:32,+03:21:52.6144,1.0,22B242_1,,1.0
8,8,ACT-CLJ0204.7-0116,fall,8.0,2:04:46,-1:16:56,1.0,22B242_1,,1.0
9,9,ACT-CLJ0204.8-0303,fall,9.0,2:04:50,-3:03:41,1.0,22B242_1,,1.0
10,10,ACT-CLJ0205.2-0439,fall,10.0,2:05:16,-4:39:11,1.0,22B242_1,,1.0
11,11,ACT-CLJ0205.9-0307,fall,11.0,2:05:59,-3:07:19,1.0,22B242_1,,1.0
12,12,ACT-CLJ0206.2-0114,fall,12.0,2:06:14,-1:14:34,1.0,22B242_1,,1.0
13,13,ACT-CLJ0206.4-0118,fall,13.0,2:06:26,-1:18:30,1.0,22B242_1,,1.0
14,14,ACT-CLJ0206.9-0119,fall,14.0,2:06:57,-1:20:00,1.0,22B242_1,,1.0
15,15,ACT-CLJ0207.2+0536,fall,15.0,2:07:12,+05:36:37.5638,1.0,22B242_1,,1.0
16,16,ACT-CLJ0207.7+0020,fall,16.0,2:07:46,+00:20:57.0687,1.0,22B242_1,,1.0
17,17,ACT-CLJ0208.2-0237,fall,17.0,2:08:16,-2:37:18,1.0,22B242_1,,1.0
18,18,ACT-CLJ0208.3-0255,fall,18.0,2:08:21,-2:56:00,1.0,22B242_1,,1.0
19,19,ACT-CLJ0209.6+0222,fall,19.0,2:09:37,+02:22:40.3572,1.0,22B242_1,,1.0
20,20,ACT-CLJ0209.9+0038,fall,20.0,2:10:00,+00:38:14.8513,1.0,22B242_1,,1.0
21,21,ACT-CLJ0210.0-0243,fall,21.0,2:10:01,-2:43:15,1.0,22B242_1,,1.0
22,22,ACT-CLJ0210.1+0254,fall,22.0,2:10:12,+02:54:25.9485,1.0,22B242_1,,1.0
23,23,ACT-CLJ0211.1-0453,fall,23.0,2:11:12,-4:53:45,1.0,22B242_1,,1.0
24,24,ACT-CLJ0211.2-0343,fall,24.0,2:11:15,-3:43:24,1.0,22B242_1,,1.0
25,25,ACT-CLJ0211.9-0146,fall,25.0,2:11:57,-1:46:10,1.0,22B242_1,,1.0
26,26,ACT-CLJ0212.5+0152,fall,26.0,2:12:31,+01:52:37.3158,1.0,22B242_1,,1.0
27,27,ACT-CLJ0212.5-0037,fall,27.0,2:12:35,-0:37:34,1.0,22B242_1,,1.0
28,28,ACT-CLJ0214.7-0432,fall,28.0,2:14:43,-4:32:55,1.0,22B242_1,,1.0
29,29,ACT-CLJ0215.4+0030,fall,29.0,2:15:28,+00:30:41.4215,1.0,22B242_1,,1.0
30,30,ACT-CLJ0215.4-0440,fall,30.0,2:15:28,-4:40:15,1.0,22B242_1,,1.0
31,31,ACT-CLJ0215.6-0113,fall,31.0,2:15:37,-1:13:30,1.0,22B242_1,,1.0
32,32,ACT-CLJ0215.8-0041,fall,32.0,2:15:50,-0:42:00,1.0,22B242_1,,1.0
33,33,ACT-CLJ0217.7-0345,fall,33.0,2:17:44,-3:45:34,1.0,22B242_1,,1.0
34,34,ACT-CLJ0217.8-0048,fall,34.0,2:17:49,-0:48:11,1.0,22B242_02,,1.0
35,35,ACT-CLJ0218.1-0214,fall,35.0,2:18:06,-2:14:21,1.0,22B242_02,,1.0
36,36,ACT-CLJ0218.2-0041,fall,36.0,2:18:16,-0:41:37,1.0,22B242_02,,1.0
37,37,ACT-CLJ0218.5-0114,fall,37.0,2:18:34,-1:14:34,1.0,22B242_02,,1.0
38,38,ACT-CLJ0218.7-0014,fall,38.0,2:18:42,-0:14:38,1.0,22B242_02,,1.0
