,cluster,ra_deg,dec_deg,FINT_first,Total_flux_vlass,int_flux_Jy,alpha,sed_offset
0,ACT-CLJ0200.3+0019,30.03709320490783,0.3281502438148852,3.3806705,10.46049276621,0.002545171285585,-0.1739450177998902,2.366376335490388
1,ACT-CLJ0200.3+0019,30.056538042625142,0.3025947778417004,nan,nan,0.0006884903762265,999,999
2,ACT-CLJ0200.3+0019,30.114872366299885,0.3792614464123787,nan,nan,-0.0006685452657933,999,999
3,ACT-CLJ0201.6-0211,30.428895784437728,-2.1976212177107164,12.782585,9.647974896749998,0.0015433906608521,-0.5172493508609205,5.859489895792191
4,ACT-CLJ0201.6-0211,30.444462810164648,-2.199287768556739,58.386692,41.80208298728,0.0009656954852999,-1.0225732759293613,11.205834885147647
5,ACT-CLJ0201.6-0503,30.4715302046596,-5.0287479783368685,nan,nan,-0.0014358316649065,999,999
6,ACT-CLJ0201.6-0503,30.405162781404933,-5.1020838684411824,nan,nan,0.0015645846481566,999,999
7,ACT-CLJ0201.6-0503,30.410740687898304,-5.02875058751919,nan,nan,0.0005782486640599,999,999
8,ACT-CLJ0203.0-0042,30.753277953872733,-0.7491479832281088,nan,nan,6.235067806959773e-05,999,999
9,ACT-CLJ0203.2-0123,30.836732065262765,-1.3307519398607,nan,nan,0.0,999,999
10,ACT-CLJ0203.2-0123,30.791162988174293,-1.4468629465962304,nan,nan,0.0005464355435629,999,999
11,ACT-CLJ0203.7+0216,30.87998011901772,2.270227129672242,nan,nan,0.0006394626075039,999,999
12,ACT-CLJ0203.7+0216,30.91500833598496,2.2118946801753387,nan,nan,0.0007129787757872,999,999
13,ACT-CLJ0203.7+0216,30.96726964065047,2.2191166222913337,nan,nan,0.0031230215595652,999,999
14,ACT-CLJ0203.9-0205,30.971844812215405,-2.144031016383934,nan,nan,-0.0040694983424812,999,999
15,ACT-CLJ0203.9-0205,30.995194478096103,-2.1568089691058216,nan,nan,0.0025739867488179,999,999
16,ACT-CLJ0204.5+0321,31.122501532817573,3.325144636128705,2.6367743,11.99734227313,0.0054985762311352,0.05293281875150713,0.224929822988996
17,ACT-CLJ0204.5+0321,31.08354580282141,3.3468097763110283,nan,nan,-0.0051616226458821,999,999
18,ACT-CLJ0204.7-0116,31.186556997551104,-1.357064053641905,nan,nan,-0.0004544577052815,999,999
19,ACT-CLJ0204.8-0303,31.26892007407207,-3.059862567368585,nan,nan,0.0014254645210422,999,999
20,ACT-CLJ0204.8-0303,31.275040996798737,-3.079862241995899,nan,nan,0.0,999,999
21,ACT-CLJ0205.2-0439,31.2789730660997,-4.70648210412786,nan,nan,-0.0038988348444887,999,999
22,ACT-CLJ0205.2-0439,31.376521265611533,-4.667592737851241,nan,nan,-0.0002038684140004,999,999
23,ACT-CLJ0206.2-0114,31.51814093883856,-1.2892521952870857,nan,nan,-0.0034046416214199,999,999
24,ACT-CLJ0206.2-0114,31.543703685466856,-1.189808104281389,nan,nan,-0.0038666690119196,999,999
25,ACT-CLJ0206.4-0118,31.5914441715516,-1.3781840410507198,nan,nan,-0.0020625137361838,999,999
26,ACT-CLJ0206.9-0119,31.72800962752272,-1.373570497890369,nan,nan,0.0002220580535203,999,999
27,ACT-CLJ0207.2+0536,31.804888365975508,5.608371374384749,104.507454,46.57020361402,0.0001811624755204,-1.5588742063594119,16.350970894266815
28,ACT-CLJ0207.7+0020,31.90339342664032,0.392020118918106,nan,nan,0.0028753499282119,999,999
29,ACT-CLJ0207.7+0020,31.92672741542461,0.3331313309324598,nan,nan,0.0002957799096895,999,999
30,ACT-CLJ0208.3-0255,32.114521054069826,-2.9860548443590584,nan,nan,0.0045136377142862,999,999
31,ACT-CLJ0209.6+0222,32.377317994536426,2.3286417801237023,nan,nan,0.0025957204786517,999,999
32,ACT-CLJ0209.9+0038,32.56586078315092,0.6737364600575312,nan,nan,0.0011142552068562,999,999
33,ACT-CLJ0210.0-0243,32.50140567798126,-2.791319860022143,nan,nan,0.0015182027977926,999,999
34,ACT-CLJ0210.0-0243,32.48583319194592,-2.710208585206124,nan,nan,-0.0003046118832312,999,999
35,ACT-CLJ0210.0-0243,32.447454443158406,-2.7596516695902085,nan,nan,0.0023021822886528,999,999
36,ACT-CLJ0210.0-0243,32.4619166995921,-2.7324301149186274,nan,nan,-0.0024927784283813,999,999
